LimbicB-ContA	LimbicB-ContB	LimbicB-ContC	LimbicB-DefaultA	LimbicB-DefaultB	LimbicB-DefaultC	LimbicB-DorsAttnA	LimbicB-DorsAttnB	LimbicB-LimbicA	LimbicB-SalVentAttnA	LimbicB-SalVentAttnB	LimbicB-SomMotA	LimbicB-SomMotB	LimbicB-TempPar	LimbicB-VisCent	LimbicB-VisPeri
1.868326	1.244916	4.345857	3.79714	4.561816	2.788256	1.231141	2.143109	5.240564	3.07102	4.073812	3.746352	1.242286	0.646875	0.476062	0.440007
6.957103	1.543084	2.430381	2.682377	9.369793	2.271297	0.134003	1.474294	3.200021	0.397957	9.783772	4.340119	5.610587	5.653002	3.902608	1.222587
1.822566	3.295115	2.964164	2.192893	4.105792	1.105682	0.45824	0.41008	5.980495	2.620346	7.664175	3.069783	2.786789	0.201421	1.699519	2.002834
0.099494	1.178708	0.733597	0.514182	0.358673	0.09848	0.042224	0.592268	0.257084	1.856744	0.181796	2.060597	0.058937	0.217793	3.09078	0.470485
1.74975	1.435145	2.492539	5.131404	7.22961	0.315798	0.905118	0.202012	1.699697	3.278025	0.87596	2.220171	0.499397	2.740187	2.244157	5.819522
1.312689	2.663476	0.854234	1.051582	4.202532	2.946828	1.747006	5.446705	0.528748	11.450446	13.014773	4.624968	4.472075	5.344697	13.635807	2.520311
4.287657	12.141285	1.478074	1.696021	5.436046	17.506204	0.363102	2.29342	9.053507	1.894029	9.606422	7.215497	1.98081	13.563668	1.180887	13.305203
6.39354	0.454565	8.342934	2.391211	3.688716	8.193139	4.179929	0.670062	2.181218	7.808039	9.902934	0.541661	3.307267	2.305993	0.186555	0.348594
3.429604	5.736911	0.812345	0.992142	9.903782	7.76799	1.688972	1.128325	1.9062	3.434031	7.156522	2.880406	0.325582	3.071392	0.706838	0.995745
1.704575	2.385549	0.906132	4.043316	2.114311	0.632781	1.350023	0.378514	0.446071	8.08673	6.57156	5.012347	2.125034	0.681935	1.687575	2.886034
18.088983	0.389829	0.706892	13.1412	3.061901	0.696702	1.59092	0.880967	20.571281	4.279816	4.566449	2.135962	2.812442	1.773213	0.850212	2.045353
5.917607	3.184646	1.647438	5.474352	2.764326	2.899076	4.358262	0.556725	7.616216	8.395806	10.424651	5.606096	0.51692	0.103881	1.957155	6.691488
11.419457	4.145517	5.485556	0.804598	7.609098	3.461789	0.390672	3.238807	16.141122	1.259319	7.000594	10.70535	4.773737	0.362294	5.366666	3.905851
8.989251	0.81863	20.578844	13.042724	0.79859	0.311648	1.776131	1.303924	13.042659	7.278006	11.745035	0.970628	1.750173	2.866359	2.558269	0.510046
3.773707	2.210032	5.144536	8.312299	6.495672	2.920768	1.657812	4.585843	5.362709	1.443974	8.454846	3.07402	0.859182	0.066404	3.338412	0.227043
4.596519	4.651642	13.525124	2.47388	1.934555	2.168683	3.569426	4.180918	10.631249	0.971959	4.236641	0.997884	6.639055	5.250721	3.674077	1.817677
2.077935	0.230704	2.592198	7.143956	0.88185	3.332466	0.812685	0.23766	4.351915	0.1161	4.164599	2.055233	0.509848	1.916894	0.427441	1.590578
7.039702	3.918594	2.258697	9.270627	0.783123	0.464219	1.593039	2.902812	20.256753	1.392135	5.411378	1.706386	0.058671	0.391874	0.118149	2.246898
0.776353	0.226007	0.754192	0.112255	0.122706	0.423679	1.437378	0.766964	2.776761	1.642414	3.081416	0.943811	3.066118	2.634359	0.442147	0.403003
5.816256	3.651323	2.263001	1.801208	2.199843	0.542004	0.35801	13.832737	10.692734	1.930106	3.5291	1.456639	0.141856	2.548377	0.639551	1.947914
7.450027	0.274311	9.579643	18.187748	1.327009	6.121101	1.933169	11.694203	8.403566	3.69054	18.441479	14.354989	3.298819	3.123969	0.816778	4.709655
4.081562	1.663548	3.543916	7.935616	4.338396	0.093276	1.558538	3.85358	9.492081	1.494819	6.786984	1.107581	1.625745	1.652974	1.209723	1.327311
6.103815	0.452916	3.21954	0.265313	2.752119	0.395795	4.712927	0.316463	12.256058	3.281	3.167791	0.251607	3.966248	0.775557	0.282162	3.824445
2.115963	1.024949	0.089352	1.663256	1.803399	3.869467	1.28291	0.593837	7.130651	1.573318	2.280885	0.076261	5.257269	0.508811	0.161257	1.713377
3.602407	4.866182	0.520452	0.190787	0.880287	0.374479	1.110721	0.573694	4.750852	4.144755	12.293816	1.708933	4.463993	3.152132	0.401552	0.624298
16.063363	4.509857	2.988683	0.441642	5.411448	3.765591	1.138909	3.243604	16.807267	4.797424	5.963083	6.239095	0.02504	3.073887	0.36547	1.122799
1.696184	0.030912	8.783761	10.099191	11.078441	1.295962	1.416049	8.510795	12.123844	5.830733	11.201099	4.101119	0.191507	1.503682	0.714659	4.177434
1.560328	7.555524	4.575585	4.368489	0.637673	0.475405	0.702313	0.776494	4.723989	1.189122	4.474227	4.501583	2.767644	0.829111	1.110739	0.621752
3.871541	1.876157	0.132638	2.380415	1.744653	0.431876	1.598764	1.404008	2.711515	1.731819	2.166421	5.852881	0.263013	1.512406	1.347852	0.100192
8.548512	0.359628	2.268145	1.47117	0.469373	2.853595	0.124193	2.039676	7.690606	3.396131	10.220897	11.01032	0.510004	1.94398	1.562138	3.090395
1.910269	1.403722	7.912895	4.653534	0.689871	2.721207	2.096836	0.338462	0.286719	0.686528	1.342796	0.810523	1.821239	2.855826	0.22438	0.179184
1.011228	2.357412	0.212995	0.209616	0.50111	0.185635	0.213712	0.785857	0.120892	2.792534	3.50744	1.680516	0.52704	2.813231	0.146165	2.777104
5.409008	1.916695	5.45522	8.814931	6.029417	3.559562	3.956618	1.990714	5.721813	0.063876	3.568426	3.491542	0.742962	0.567049	1.260232	5.431081
0.83055	2.22544	1.739613	0.820341	5.337953	0.335989	2.198519	1.295176	2.158412	5.11773	7.604763	0.994861	2.579264	4.644323	11.603009	5.465896
2.09455	3.123649	6.642612	3.62251	3.150234	0.23175	3.438337	0.718699	3.235075	0.016029	1.586391	0.587019	2.164535	1.012003	0.689075	4.37613
10.053852	1.557949	4.614367	4.441811	2.849909	0.087628	4.137901	2.549559	7.351475	0.924513	3.006116	1.815435	3.438357	0.494653	3.905204	5.997162
1.920533	1.275539	2.019444	2.951211	2.477359	0.995472	2.495299	0.041416	1.228544	4.884831	3.202979	4.516743	0.102057	1.870093	5.125073	0.115016
1.266092	4.42676	7.204301	0.27194	5.563684	0.653694	5.391491	1.150583	1.823307	1.538665	5.766329	1.095657	0.671532	9.043074	0.300259	3.755828
0.486309	0.28523	2.210348	16.295275	0.531365	2.301711	0.142998	7.88338	14.324176	8.373987	17.074336	4.517072	0.135037	1.913059	0.954906	2.132667
3.436788	0.434303	5.599228	9.597189	7.617305	0.288749	1.527693	1.143151	16.394256	2.240671	7.981365	2.625892	0.105498	4.057253	2.016532	2.113172
0.626026	0.406263	12.36993	2.165003	2.905944	1.800593	4.789733	0.845336	2.158024	3.163439	0.150762	0.669407	0.07999	0.004545	2.050383	0.235993
