VisCent-ContA	VisCent-ContB	VisCent-ContC	VisCent-DefaultA	VisCent-DefaultB	VisCent-DefaultC	VisCent-DorsAttnA	VisCent-DorsAttnB	VisCent-LimbicA	VisCent-LimbicB	VisCent-SalVentAttnA	VisCent-SalVentAttnB	VisCent-SomMotA	VisCent-SomMotB	VisCent-TempPar	VisCent-VisPeri
5.757755	2.977584	0.221977	2.917411	0.290784	0.180623	2.480295	0.486961	5.455058	0.332443	0.757945	2.387152	2.889819	2.34916	0.383694	2.101742
2.392417	0.56179	0.667437	0.445321	0.102302	5.796676	2.420075	1.020264	0.020698	0.148938	3.377099	0.392949	0.5427	2.925353	1.030929	0.27318
0.509887	2.494464	4.242229	3.61103	5.848772	0.24207	2.256569	6.308499	2.353423	1.63032	3.753179	2.04959	3.39752	3.074662	0.575519	2.013978
5.248199	3.528425	0.479531	0.845748	0.128489	0.492285	0.021353	2.278412	5.582187	8.885597	1.332604	1.324662	6.509207	6.066618	0.036241	5.416559
0.010027	2.608936	1.440431	0.122818	0.290156	4.688931	2.28537	0.56898	0.354071	0.205369	1.69245	0.274667	1.713719	4.981455	0.456476	1.49779
0.807402	1.310627	5.00266	1.616376	0.31618	0.741197	0.599536	10.383287	1.108623	3.35614	3.731673	2.09858	7.36727	2.893876	0.393295	11.625163
3.770098	0.517755	2.67206	5.689735	2.266785	1.728207	1.50134	0.59674	0.624528	3.389359	5.93435	1.214064	0.702222	4.068916	2.295529	0.088388
0.158766	0.023894	0.444788	1.409538	0.74494	1.025544	0.508452	1.205227	2.210567	3.474196	0.788514	3.239244	0.973261	0.716696	0.603909	0.21274
0.024852	1.584073	0.241882	1.628487	0.774672	7.101955	1.04325	1.862631	0.399067	0.637837	2.51157	1.792636	4.500905	5.878575	3.389407	1.193487
0.960453	1.126297	1.664177	2.800645	1.767159	1.056753	0.82975	1.75389	3.193244	0.915436	0.513741	2.394919	1.791215	0.426314	5.415567	0.293549
0.864854	0.270927	1.307732	0.749558	1.862635	2.181298	2.143452	2.314189	1.321547	3.636492	1.521216	1.573381	0.617567	4.130842	1.063456	0.004608
1.678599	1.160351	0.375903	1.154303	1.284593	3.202103	1.266906	0.884214	1.033136	3.357759	7.391091	8.362921	1.538674	9.723101	0.070826	4.264052
6.593269	3.041079	1.314279	0.119736	1.370456	3.410596	0.330204	6.069899	8.000373	5.289893	0.305061	4.025856	5.13074	7.350291	3.90505	3.37817
4.009626	2.215446	1.281126	0.773521	3.080355	1.471815	0.23458	0.213709	5.892505	1.379741	0.558936	7.909265	4.019262	2.240817	0.903626	3.153338
1.123986	0.822228	6.398015	7.923792	6.739423	2.298579	0.643284	0.995863	1.562846	5.110492	3.617611	7.384981	5.655666	3.244274	0.806388	2.591107
3.863238	5.152622	9.163544	3.045999	2.178994	4.233408	0.352209	2.992314	8.980688	1.90997	0.483863	2.947985	5.766585	15.273542	4.810094	1.851127
1.19875	1.534421	0.104621	5.405456	4.243344	5.450355	6.972994	1.564468	0.98752	3.142361	0.264699	3.436246	1.542858	17.027125	12.606945	2.521481
6.72736	0.420336	0.160085	2.579096	2.05767	1.62389	1.586817	1.374093	0.038233	2.353768	1.799281	2.871756	2.57744	0.759717	0.329138	2.762372
5.372263	1.115068	0.401445	1.334062	2.627365	2.14648	1.534841	2.514939	4.716131	0.379277	3.244373	0.20182	0.227509	3.181797	2.677547	0.447627
0.634494	5.809153	0.709533	1.931836	4.321126	2.683385	2.401548	0.703751	1.137183	0.950686	4.817868	0.404028	1.208974	7.928191	0.594086	1.762206
4.802596	0.020153	2.057042	6.096512	1.604864	1.984721	0.339116	2.355339	1.552322	4.346592	0.243881	9.595275	3.054007	1.99362	3.136183	1.858431
6.005358	4.746349	3.683345	5.668736	6.967344	2.538054	1.464748	0.222618	3.449714	2.89527	2.454209	3.088906	3.342017	2.510616	1.15853	5.554506
5.386485	3.826099	0.773105	2.403136	5.148469	2.790475	2.4275	4.949335	2.449973	0.310016	0.666469	0.040212	0.412673	1.827631	1.420837	0.242831
1.19187	0.607071	0.404878	0.706825	0.035142	1.128453	0.810079	3.232471	4.123329	5.466444	2.312326	3.352107	4.569442	6.776756	1.686779	3.291784
1.955956	2.571649	0.230356	0.286088	0.899985	0.044766	0.722439	3.61973	2.395065	2.449198	0.028151	1.120771	4.625836	2.260925	0.587351	1.391055
0.386017	2.41048	0.274176	1.550547	3.13344	0.7103	0.166099	0.265589	0.349845	0.549389	0.492893	3.08778	2.327083	0.596495	1.610264	1.636299
7.982273	10.794641	2.379302	0.845011	0.684733	0.637862	1.31365	2.548551	4.405977	1.285191	0.998061	2.537065	3.371945	10.307074	6.269963	0.035895
0.443945	0.579585	1.666026	1.177901	0.05005	2.59305	0.506187	0.017061	1.165253	0.231098	4.555495	6.495938	5.972888	0.716828	2.562543	4.890356
