SalVentAttnA-ContA	SalVentAttnA-ContB	SalVentAttnA-ContC	SalVentAttnA-DefaultA	SalVentAttnA-DefaultB	SalVentAttnA-DefaultC	SalVentAttnA-DorsAttnA	SalVentAttnA-DorsAttnB	SalVentAttnA-LimbicA	SalVentAttnA-LimbicB	SalVentAttnA-SalVentAttnB	SalVentAttnA-SomMotA	SalVentAttnA-SomMotB	SalVentAttnA-TempPar	SalVentAttnA-VisCent	SalVentAttnA-VisPeri
2.119309	0.269601	0.220291	2.786543	3.146483	1.091058	1.282895	5.44072	1.504286	0.19779	0.842908	0.532374	1.362336	4.253726	1.29699	1.367071
3.291196	2.121928	1.318557	1.621778	0.826171	0.840839	2.855842	0.290692	5.069588	1.076183	0.825077	2.94574	2.304917	1.076967	1.440559	5.750604
0.305032	0.116988	1.833062	0.308322	0.007715	0.030987	0.073613	0.846158	0.155449	1.669471	1.862936	1.158412	0.708599	2.779546	0.957618	1.373068
1.746933	2.353864	0.365744	3.004502	0.385673	4.629415	0.917653	0.709099	1.43263	4.481853	1.879438	9.462528	1.547381	0.232207	0.989756	6.591967
0.401846	1.93326	0.557473	1.077935	2.626242	1.122063	0.589871	0.088202	0.671596	2.001247	0.395071	0.696079	0.826748	0.600256	0.463455	0.324845
0.992837	0.658169	0.007288	0.872839	0.745307	2.343371	0.047359	2.282285	0.077013	2.183654	2.074359	0.737458	0.181031	1.572542	0.771576	1.221673
0.375131	0.790688	1.570818	0.875831	0.434857	0.015007	2.409648	2.419166	0.472825	2.315774	1.638883	1.822204	6.667152	0.402532	1.43898	0.562734
1.008381	0.836652	0.374901	0.765001	2.316222	2.005165	0.946818	0.930026	0.354243	3.41988	1.897404	2.690253	1.440743	1.304712	2.162651	4.269241
0.456226	1.800101	0.864117	0.250562	3.359538	1.396234	1.449869	0.397449	0.594861	3.560362	1.72287	2.280011	0.190468	0.421762	0.378109	1.317039
0.794647	0.755529	0.200167	6.183379	2.981379	6.474203	1.541166	1.937656	0.400371	0.677724	0.772988	0.457018	1.986667	2.164501	1.958656	3.113447
1.263044	1.262291	7.349895	5.840516	6.165162	0.60689	1.089862	0.010773	2.401928	2.640682	1.210228	0.572614	0.661016	2.758784	1.070377	0.934981
0.626184	0.937279	0.579787	0.436627	0.1571	3.107374	0.618333	0.000136	0.544717	0.7138	0.13396	0.54219	0.198469	1.65483	0.516734	0.056716
4.386603	1.517866	1.276498	1.789697	0.959771	0.047073	1.410467	2.728041	7.344156	6.067769	0.942405	1.893603	0.234299	0.245483	1.450386	3.208416
0.006656	0.007321	0.736076	3.8252	0.129849	0.711573	0.452663	0.02991	0.065383	0.139038	1.22407	0.27295	0.094376	1.7801	0.438655	1.768576
0.091758	1.643938	2.74049	0.922123	2.149898	0.068328	1.662625	1.314793	1.513134	2.181183	3.702789	0.625479	7.135203	0.180925	0.76301	1.666784
1.821001	0.219602	0.544711	1.81662	0.819896	1.76412	0.049498	0.219297	0.103031	1.388019	4.737937	3.744426	1.932408	0.585262	0.481648	0.600309
7.106465	2.484415	1.510456	1.832753	4.844353	0.114211	1.453307	0.438274	3.659591	2.91323	2.383073	0.23059	1.335223	2.163725	2.917802	2.422736
0.539305	1.240757	9.617173	3.620597	1.260685	1.030107	1.04534	1.942146	2.854235	3.319428	1.538436	2.279172	1.203355	0.68815	0.866389	1.467917
0.066998	0.525784	0.389728	0.327682	3.226635	0.498921	1.64585	2.559547	0.412984	3.22527	1.452293	2.269612	0.589619	0.462336	1.143886	1.903142
2.225963	4.605079	10.74656	7.046792	7.035557	3.453815	1.725226	0.256808	6.743031	5.376185	2.325241	2.976785	1.668865	1.819342	0.968324	3.822084
0.124241	0.929761	1.001876	0.314243	0.429193	0.661912	4.371035	0.067083	2.883434	0.57577	0.922799	0.623582	2.057254	1.788849	5.326432	0.42159
7.074012	8.15372	0.690178	2.104157	5.855547	5.374091	3.598887	0.258118	3.753992	6.787481	1.944767	0.223451	3.999709	1.570377	2.16536	0.712768
2.818162	2.839004	2.547558	0.44977	0.627957	5.740095	0.036672	2.569843	2.051066	0.55501	1.949982	0.037583	6.796723	6.825111	2.11389	0.357927
0.190571	1.674818	1.702848	1.09774	2.072769	1.557411	1.029426	1.289023	0.247275	0.051335	1.989276	0.805167	0.56203	0.498973	1.453571	1.70838
0.036823	1.190592	1.533982	0.172183	2.680431	2.393639	0.099311	0.976917	1.212927	0.779184	0.234667	2.00617	2.601936	4.167614	1.739227	1.001549
0.100099	0.238778	0.550391	0.562644	0.036703	0.14533	0.518411	0.131204	0.624379	2.17841	0.036941	2.663874	3.656162	2.003504	4.091244	1.068353
0.065226	1.27849	2.246175	6.404977	2.189732	1.007554	1.351466	0.48675	0.099713	3.840556	1.792516	3.873778	0.659079	1.121294	3.442215	1.214362
2.550138	1.284176	6.653563	1.266734	1.260657	0.04701	1.001025	4.591657	4.438405	3.414426	4.944674	0.091534	1.043284	0.126408	1.831791	0.101071
2.291499	1.721845	0.169751	0.057593	0.208351	0.73095	2.677364	0.361641	5.87079	1.634889	0.060847	1.860296	0.020896	0.315208	0.208739	1.322036
0.627072	3.741329	0.32207	0.1519	2.378395	0.343548	3.842385	0.296143	0.040876	1.373386	0.434399	3.941249	1.09485	0.049415	2.351343	8.144202
2.942011	1.095028	0.029471	1.237062	0.12983	0.527905	4.827796	0.21067	5.651069	7.371506	8.828515	0.076908	4.918487	0.582368	3.593436	1.361844
4.274478	1.375921	0.015686	2.190828	0.057997	0.17123	0.932603	0.369034	5.57159	6.648337	5.494736	3.636923	2.701236	0.182662	0.031457	1.15562
7.776927	2.323024	0.922382	0.726534	1.12378	1.433555	0.173217	1.318693	5.069769	6.085326	2.073872	10.460192	4.611693	1.981414	3.363142	4.444249
4.427921	5.282244	3.751449	2.670412	5.178148	3.849639	8.266096	2.119523	3.905693	5.567142	0.961177	5.283818	7.916873	2.485122	2.447314	0.109377
0.862625	0.063303	0.510127	0.551692	0.371062	4.522605	0.215227	0.967313	1.286248	1.359547	0.106544	1.140329	2.223106	2.957899	0.393689	0.337007
4.99552	5.810592	3.690997	3.537124	0.247448	0.521364	1.192079	2.607603	4.163014	8.002893	2.728215	4.707898	3.259882	1.544251	0.110749	7.571379
0.336249	0.16763	0.902987	0.988947	0.912517	0.005756	0.044879	0.197025	0.15733	1.914655	0.879361	1.100848	5.800988	0.533212	0.011837	1.046876
1.033434	2.1962	0.799864	2.059586	1.181765	1.405907	5.543387	0.481333	1.728557	0.140029	0.936649	0.145084	1.022221	0.715391	2.655129	1.09696
5.021347	1.154589	1.063704	0.488877	1.040541	0.765959	1.975676	0.966308	0.65945	3.094712	5.019458	0.157931	1.182656	3.522087	0.489151	1.460067
4.819881	3.71793	1.110235	0.617244	4.619275	2.778363	0.17308	3.453781	7.578734	4.500284	6.29665	5.419273	2.416224	0.694596	6.222995	4.499613
3.436312	3.845652	6.497329	1.733325	3.120049	1.355559	1.137795	1.342386	2.690498	2.672718	4.476159	5.35512	2.075005	1.437269	4.074054	6.028304
0.967714	2.628509	1.288475	0.410652	1.355978	1.575538	0.000281	0.79207	0.505537	5.547949	4.196538	1.288295	1.054845	3.432138	0.068985	1.65594
2.667574	1.940864	2.602194	0.502076	0.928726	0.789007	3.219711	0.362249	0.265625	1.470826	4.715329	0.067405	0.299757	1.52991	0.283473	1.252896
1.951388	0.059374	0.010257	0.975271	1.462742	0.628333	1.818863	0.338122	2.078288	1.53466	3.299471	3.399492	1.423419	1.686357	4.186277	5.365403
2.616754	3.443736	1.067043	1.30617	0.038358	3.450743	1.354083	3.625321	1.729673	6.538316	3.087981	3.838765	0.741585	5.359146	2.723548	7.424932
0.124162	0.215482	1.706127	0.41162	0.711636	0.864449	0.817617	0.914457	0.524077	1.217406	4.785488	0.815795	0.975536	0.069713	1.785689	0.755916
2.807708	0.781271	2.275037	0.278363	0.449832	0.245497	2.530029	1.873352	3.002465	0.865933	1.403578	3.130092	0.255203	1.193384	2.265348	6.10358
0.407648	1.269445	0.725155	2.489882	1.200128	1.322235	0.112935	1.599647	2.158671	4.459451	3.960217	1.246814	1.863784	3.971429	0.772428	0.649068
0.052658	0.113202	1.532917	0.907514	0.677171	0.767561	0.453052	0.15501	0.482914	0.190094	2.227724	1.352504	0.06133	0.328359	1.201541	2.483232
1.368689	1.15533	1.850011	2.777498	0.014791	2.236103	3.110409	3.120908	2.862617	0.268009	0.523832	2.829173	0.647777	1.066101	0.612457	1.88836
0.333434	5.207728	2.456254	2.166513	0.189128	2.297697	0.318639	0.936355	0.017943	2.110957	1.590393	3.89841	4.369803	0.639016	0.876198	4.57414
0.869661	0.406046	5.049992	0.651058	0.63206	1.452102	0.647621	0.405036	4.7001	3.528795	0.199829	0.203458	1.510069	0.99869	0.346091	0.621447
0.30596	1.464725	3.718262	0.012643	0.078265	0.25503	0.701989	0.082323	0.064761	1.345551	0.21623	0.986051	0.513392	0.340491	1.269823	0.422241
2.117139	0.832306	2.133819	1.762578	2.081547	0.517499	3.04078	6.847557	0.435419	1.352888	0.073654	0.926536	7.550546	1.5666	0.520222	0.220831
4.153132	0.370627	3.37429	3.471445	0.10386	0.273885	0.62384	1.725592	3.115306	2.227378	3.709939	1.526941	2.069458	0.247571	1.107288	0.318487
1.916182	0.211189	0.020958	1.517934	0.279798	0.453238	0.080511	0.1297	1.088108	0.056675	2.021085	2.852164	2.02841	0.450403	1.472965	0.404429
0.280694	0.381756	1.17709	0.674468	0.048648	3.985	1.089342	0.659248	0.946777	0.278168	2.262535	1.000448	1.140673	7.854028	3.063544	1.060051
2.170252	0.087009	3.028857	3.338757	0.70116	0.104102	1.740316	0.269824	1.296065	3.454583	0.838167	1.696106	3.464336	4.799189	3.753105	1.553021
0.292998	0.898666	4.546497	1.109955	2.18146	1.538243	1.770903	0.568498	0.092052	0.807907	0.115739	0.459462	0.261677	0.189173	0.532946	2.296864
