SalVentAttnA-ContA	SalVentAttnA-ContB	SalVentAttnA-ContC	SalVentAttnA-DefaultA	SalVentAttnA-DefaultB	SalVentAttnA-DefaultC	SalVentAttnA-DorsAttnA	SalVentAttnA-DorsAttnB	SalVentAttnA-LimbicA	SalVentAttnA-LimbicB	SalVentAttnA-SalVentAttnB	SalVentAttnA-SomMotA	SalVentAttnA-SomMotB	SalVentAttnA-TempPar	SalVentAttnA-VisCent	SalVentAttnA-VisPeri
0.609749	0.456012	3.609403	1.206716	1.71138	0.318241	1.168088	1.620502	0.283572	0.519887	6.542716	0.777966	0.16969	0.06987	0.977774	0.387898
1.456979	0.572936	1.476169	1.538979	0.862964	0.903289	0.886476	1.56982	0.131275	1.792021	0.825074	1.162849	2.135001	0.52178	2.994929	0.053369
0.582523	2.108769	0.49301	4.473647	3.238079	6.162181	8.723422	3.439763	0.171181	0.527832	0.866321	7.148095	1.875101	5.125994	0.340405	4.510187
6.153623	4.384777	0.583398	3.752306	6.322353	17.691765	4.234607	0.896387	4.107962	3.975251	3.146246	1.217949	4.405397	3.217951	0.794094	0.845578
1.92281	4.622431	0.683662	1.479581	0.469027	3.53958	0.663549	3.633124	1.212442	0.724148	0.553153	1.815945	0.92531	0.141012	0.407368	0.06443
0.26445	0.878947	1.867059	1.955753	1.174382	2.850301	3.414593	4.714083	1.631524	3.359863	0.008068	8.306044	1.06319	0.998295	2.950035	9.587967
1.020528	0.491232	6.961137	4.652157	0.995315	0.173937	1.174329	2.493271	0.399741	0.788435	0.121462	0.212427	0.534948	1.099997	1.182387	1.520153
0.00464	0.024328	0.126023	0.911223	1.963603	2.147853	1.5595	0.194329	0.59999	1.193541	2.669826	0.770265	7.325344	2.04737	0.992921	0.50219
0.664009	1.188024	2.380752	1.017058	0.649771	5.82588	1.143709	1.32413	0.477066	0.846068	2.923353	2.65524	0.930539	6.940806	0.339479	1.774149
0.977198	0.990965	2.076422	3.163192	0.093614	2.646724	0.160337	2.416596	0.172799	0.000811	1.292392	0.230845	0.07273	0.328876	0.213733	0.269748
0.337005	1.757628	1.630136	0.579345	5.201379	0.537288	0.304063	0.211306	0.212324	1.353959	1.546311	0.448737	0.138384	0.825966	1.449954	2.567784
0.178303	2.161083	0.455233	0.682765	0.01815	0.251418	2.840991	0.901206	3.812308	2.851803	0.34949	2.751918	0.070581	0.036009	0.619712	2.859453
0.655366	0.353407	1.737202	0.099039	0.306972	1.090231	0.762172	1.172886	0.697574	4.785869	1.338137	0.384162	0.984704	0.277324	0.043236	0.025735
0.022787	0.151788	4.025553	0.002995	2.310163	1.33111	0.244194	0.243022	2.030481	1.462717	0.419126	6.758792	5.586519	0.27118	4.649135	5.503327
0.021054	1.5865	0.563717	0.514892	1.052517	2.090715	0.812214	1.076929	1.276751	1.380244	0.28402	0.427742	0.869126	0.340603	0.154713	0.165079
0.42123	1.365415	1.096163	1.2247	0.99278	5.202473	0.033876	1.958878	0.314063	1.03796	2.196117	6.343196	0.576117	2.259758	0.757428	0.978283
0.577481	1.93973	1.571238	1.278351	0.716068	3.807556	1.826775	0.16953	1.591031	0.483811	1.327963	0.160726	1.717705	2.037581	4.274558	1.381722
0.979685	1.047385	4.049114	9.251772	1.774908	0.050649	0.320023	2.54039	7.647435	11.865	12.344298	2.051934	0.135965	1.680217	1.39228	0.503713
0.125436	2.655125	1.141544	0.210994	2.072097	2.289217	0.247749	0.87125	1.527302	1.094026	0.063458	2.36714	1.741874	2.254049	0.686446	0.794372
0.943001	0.621173	0.016038	4.517373	0.160936	0.349371	0.452116	1.470803	0.432854	0.170217	0.063003	1.844712	9.496693	1.935434	13.778021	5.312014
1.199983	3.883153	1.377736	0.858059	5.810148	2.456228	0.927354	0.564519	0.676188	3.127221	1.180195	1.613325	2.826306	1.90943	1.74493	3.069616
1.093594	0.542128	2.63046	0.313291	1.382396	0.313925	2.142777	2.166112	1.017941	0.097617	0.113897	0.011446	0.86346	1.27457	6.288651	1.797134
1.374477	2.019698	1.12425	2.643496	0.160746	0.0744	0.069626	0.219623	3.036401	4.815235	2.115753	0.136445	3.034436	1.497795	0.077103	0.319013
0.49135	1.058426	2.791631	1.573689	1.926082	9.62633	4.942096	4.579285	0.128374	3.404217	2.858182	8.629892	3.426607	0.109208	1.011409	3.563002
2.479269	0.636689	4.904882	1.804737	3.566801	1.998379	0.330955	4.315604	1.537314	0.812519	1.256102	0.792613	1.195273	0.307789	0.6887	1.745047
2.92233	1.091079	4.058381	3.201043	1.633593	1.644848	1.993732	9.472578	8.485587	8.904399	12.209591	4.72584	1.129517	0.599933	0.482403	1.487914
0.345141	0.230824	0.263307	4.157796	1.268428	1.013045	0.244294	0.165507	0.684728	3.711953	2.9995	0.256449	0.680751	0.216682	1.606891	0.195991
0.872558	0.578709	6.437389	1.116245	1.222	0.281233	4.391597	1.16864	1.571642	0.477723	1.644787	4.182968	1.08712	1.349908	5.601587	4.115894
