VisPeri-ContA	VisPeri-ContB	VisPeri-ContC	VisPeri-DefaultA	VisPeri-DefaultB	VisPeri-DefaultC	VisPeri-DorsAttnA	VisPeri-DorsAttnB	VisPeri-LimbicA	VisPeri-LimbicB	VisPeri-SalVentAttnA	VisPeri-SalVentAttnB	VisPeri-SomMotA	VisPeri-SomMotB	VisPeri-TempPar	VisPeri-VisCent
11.074616	11.349402	0.302235	1.406506	0.736329	0.909044	3.024504	0.374713	7.783327	2.015485	0.115762	1.501972	6.197555	2.094715	1.839082	3.463398
11.354577	17.274956	1.674218	3.579088	24.0157	10.423469	0.265974	0.761631	5.766501	17.306968	3.652465	3.741717	20.954309	4.71765	1.082454	0.107074
1.048238	0.83639	0.651297	0.913653	1.578337	0.433488	5.924959	0.307816	0.434442	1.070365	17.106268	10.065654	5.617146	2.644541	0.552729	14.582114
0.294277	6.017541	3.971416	0.932149	0.343027	0.036393	1.267771	1.1088	0.960857	12.647067	2.213884	1.935347	11.795949	0.633648	0.317517	6.184997
14.561942	17.517915	4.027072	1.319758	6.300333	2.004891	4.304471	3.959412	9.396314	4.74937	2.620125	4.247547	19.516617	1.757072	2.183695	12.35862
1.82229	3.988875	8.435724	5.300059	0.24345	4.341245	8.671982	0.902043	2.265998	3.176147	4.483347	2.886601	9.336104	0.193548	11.476272	8.957349
6.900574	14.385453	1.327919	0.007124	6.496403	6.681282	1.514409	1.743632	5.880407	2.379659	0.960542	3.18421	10.253513	0.648482	4.715267	0.443965
2.106025	3.01338	2.470599	1.701262	2.226494	1.555807	1.925062	1.211361	3.468175	1.535172	1.974839	0.008669	6.018941	1.171543	0.416132	0.685324
2.068939	2.781466	2.236221	1.508151	7.032257	3.488092	2.322827	6.334388	4.290747	11.364113	3.496791	8.723579	13.16777	1.888851	1.721999	3.952977
2.232924	0.500275	0.481033	1.477541	0.595562	0.486837	3.547229	1.295755	2.269379	3.306562	2.148352	2.922289	10.832275	2.350883	0.805111	5.039813
14.064635	9.471294	0.14779	7.100609	9.190712	3.660868	2.278392	3.638255	9.654706	5.082024	0.094887	2.624488	23.410051	1.99127	0.327835	0.462313
2.025882	0.764169	11.652956	5.686223	1.327645	6.363073	2.288126	5.70866	1.785176	3.952645	0.798366	7.327024	11.113354	1.588492	0.594751	24.824282
14.906406	19.069348	0.465614	0.503333	1.935007	5.470882	1.000021	2.593006	19.845562	7.710993	2.865605	16.645874	18.235675	14.958321	5.139686	11.147501
1.693189	6.107436	1.233128	0.518755	1.164824	2.564306	0.584475	3.629768	6.299704	6.405943	1.231822	10.028524	9.952327	1.228974	0.610148	24.012966
10.334718	14.281397	6.669394	6.414583	11.031723	6.250756	9.534335	2.29966	8.395232	3.34806	1.27267	2.037194	32.676074	0.591224	1.810323	17.496158
2.133415	0.735474	1.420193	0.845804	3.954141	3.684655	1.698546	1.338423	11.214496	0.31742	1.89362	0.702212	5.775877	5.838971	0.204241	16.072388
1.459904	9.920786	1.860213	11.966026	6.646631	3.058758	1.477433	6.330013	3.138411	7.020309	3.962771	7.067759	7.031466	5.41522	12.614517	6.720583
