DorsAttnB-ContA	DorsAttnB-ContB	DorsAttnB-ContC	DorsAttnB-DefaultA	DorsAttnB-DefaultB	DorsAttnB-DefaultC	DorsAttnB-DorsAttnA	DorsAttnB-LimbicA	DorsAttnB-LimbicB	DorsAttnB-SalVentAttnA	DorsAttnB-SalVentAttnB	DorsAttnB-SomMotA	DorsAttnB-SomMotB	DorsAttnB-TempPar	DorsAttnB-VisCent	DorsAttnB-VisPeri
1.264495	1.334527	0.308443	1.918896	4.308908	0.710742	3.764754	1.002166	0.109785	7.378497	3.666641	2.549385	6.379199	0.122655	0.011442	0.369806
0.010814	2.98638	4.072412	3.28268	4.562498	2.013415	3.425148	0.086283	2.318441	2.490314	0.5678	3.238367	4.166271	1.248362	1.683748	2.949426
1.412373	7.501628	5.522603	3.424926	4.184912	0.14985	4.174646	2.113154	0.122484	2.129312	1.682684	2.398885	0.154655	0.019081	6.676262	0.975033
0.152739	1.5682	0.921758	0.049872	0.698893	1.488262	11.947074	0.000278	2.351255	5.843462	0.756343	1.053248	0.724874	2.542788	1.830436	0.119646
7.92409	20.165273	2.288701	1.861226	0.277424	1.203326	2.182491	6.296662	2.741982	2.45005	6.709223	7.267155	16.462031	2.028823	5.043754	3.288766
1.076868	3.768987	0.728101	2.662114	0.760193	0.880043	2.055716	2.351194	0.835975	0.477023	0.211482	1.288609	1.216594	0.803525	2.328179	0.615344
0.143184	2.020946	3.55553	2.108578	0.282116	1.017741	0.726905	0.419315	0.200539	7.095958	0.793533	0.233352	1.525953	4.380439	1.966297	2.427297
2.013097	0.069041	0.356986	1.220559	0.101611	0.196679	1.033651	3.13112	2.4257	2.5204	2.016909	0.142044	0.707821	3.468289	6.612734	0.325124
0.2136	0.325828	2.075363	1.726647	0.01323	0.585805	0.968614	0.246303	1.221365	3.950191	1.454912	1.800879	2.486776	0.50902	0.736506	0.323791
0.806392	4.711794	0.161792	0.314801	0.398829	8.306205	1.289891	1.862184	0.291793	1.542019	0.42935	1.273087	3.773221	2.401465	9.527708	0.207672
8.916332	5.743646	1.301895	4.397604	2.220454	4.841611	0.57357	10.768536	5.743007	0.350335	1.522751	5.463867	0.984316	0.379002	0.656545	4.863142
6.011586	3.164854	0.106766	1.0102	0.456225	1.703585	0.317811	5.172154	0.837382	2.361107	3.163466	2.393882	4.769067	0.26376	0.81374	0.58736
2.181615	0.98626	0.041322	0.100084	1.118035	0.947556	2.206068	4.0055	4.347658	3.791291	4.673563	1.420804	2.696089	0.691562	0.282791	0.626109
