DorsAttnA-ContA	DorsAttnA-ContB	DorsAttnA-ContC	DorsAttnA-DefaultA	DorsAttnA-DefaultB	DorsAttnA-DefaultC	DorsAttnA-DorsAttnB	DorsAttnA-LimbicA	DorsAttnA-LimbicB	DorsAttnA-SalVentAttnA	DorsAttnA-SalVentAttnB	DorsAttnA-SomMotA	DorsAttnA-SomMotB	DorsAttnA-TempPar	DorsAttnA-VisCent	DorsAttnA-VisPeri
2.669949	7.115134	0.480054	6.159135	4.445084	5.938344	4.410072	4.226905	9.21562	2.150586	7.51006	0.274026	2.18044	1.550378	1.577513	2.340876
1.134876	0.7013	8.055318	8.688156	13.73231	10.080897	6.802594	5.31276	4.209779	1.942438	6.644062	7.822479	1.853201	6.761092	0.430869	2.247295
3.976509	2.183884	5.893467	3.198325	5.715686	7.429705	11.958517	0.65664	4.908695	2.165809	1.573325	0.889506	0.306046	2.411934	0.434515	0.391301
0.296782	5.759452	6.584036	4.389031	5.299159	3.646796	0.791235	0.504204	5.481007	3.402704	2.17994	0.009801	3.274924	7.613438	0.642059	0.051293
0.716846	0.55152	1.275064	3.451591	9.172196	8.386274	10.082294	0.12668	3.493332	0.961059	0.380033	0.921814	1.088591	11.730725	4.099115	2.153389
2.487268	2.806433	3.3568	7.493663	9.14442	5.54147	18.223317	1.201539	5.992092	1.154096	4.635419	2.361392	3.9441	1.32453	0.431912	0.60457
11.656142	4.54319	8.276736	7.717021	10.976455	7.021666	5.008999	3.619382	15.884148	2.966945	6.279052	2.768328	9.62875	8.384474	0.62479	1.807347
4.664971	2.709109	5.769979	2.599836	6.309201	3.204629	10.600298	3.02755	3.995169	1.192421	1.173326	0.256889	1.403145	4.467712	2.135996	2.562305
2.661438	0.173218	1.475674	0.171491	0.93984	7.617749	1.877376	0.039623	2.541549	6.552762	0.599095	0.76022	0.015606	6.12013	0.041281	3.137359
0.348706	1.584587	1.758625	2.739449	6.632056	4.599891	3.215206	5.615395	1.768553	8.224775	2.23272	0.305261	0.870466	2.54813	3.734512	4.852193
0.751468	1.869564	1.055962	0.283157	2.582469	2.967162	19.133032	1.233213	2.755466	3.451068	0.634285	1.798943	9.510425	1.315741	0.860958	0.747718
0.550244	0.6751	2.782961	4.875992	4.029656	1.77337	3.063107	0.240017	0.366798	7.802096	0.286312	0.649744	0.699105	0.986971	1.219667	2.211925
0.952708	0.790067	1.747603	3.797162	4.349608	3.825062	4.54948	1.34749	8.601249	1.356901	0.74692	0.488423	0.346276	0.978546	3.412797	2.393594
0.092632	0.317188	3.039164	6.415903	3.832997	1.206401	1.501063	0.560668	2.218091	5.978722	1.411112	0.176698	1.00935	0.262159	0.118343	0.18485
0.05466	0.044812	0.376537	0.199756	4.1597	2.069467	6.415686	0.205269	0.232152	8.288184	0.973008	3.492774	1.474812	4.185154	0.99148	0.146328
5.26727	1.757837	5.649687	13.16167	3.910206	3.494881	5.29952	6.354041	15.089796	0.88274	6.588459	0.893451	0.273396	9.187402	8.344055	3.273846
0.277075	0.318678	0.531762	2.771156	2.897439	4.881179	12.29997	0.026519	7.732077	0.605433	0.336054	2.741426	1.016125	5.643995	0.731549	0.298707
1.468557	2.2951	2.034659	3.320419	2.64644	10.0973	4.832237	6.086163	3.002585	5.283181	1.733548	0.664243	0.847751	7.985317	0.982362	1.108872
0.035105	0.509933	0.347753	0.039662	2.36227	1.886434	4.014191	1.507592	3.494261	0.746503	2.092325	0.301667	3.93634	0.13602	1.492961	0.123225
3.346848	0.73759	3.084096	3.584101	7.056788	8.331564	3.941282	1.657723	2.221281	2.141194	2.290292	1.374482	0.776822	1.466097	1.472638	1.428642
3.699296	0.518256	1.456249	1.972087	8.056948	6.933108	2.695795	3.280682	5.387924	0.895677	3.628434	0.742869	0.919024	0.717644	3.92895	0.060032
5.135223	1.867009	2.479993	1.577539	4.082081	7.354441	2.760072	3.00313	2.945898	6.618502	0.521993	2.439817	0.615741	1.09719	0.754699	1.831514
1.425277	0.016246	0.975612	2.051992	7.070266	2.674247	4.75649	1.592578	3.148812	4.152485	1.252137	0.662497	0.069982	2.654973	1.627108	0.926971
14.55992	12.476311	11.751581	5.448454	15.907985	8.129862	6.324525	10.324671	6.615795	5.015255	2.196578	18.83001	10.914515	10.842657	5.711783	13.520984
0.025495	1.610445	1.591481	1.52275	4.593425	2.611112	18.767383	1.2906	0.255258	6.326116	2.729553	1.048002	4.883816	0.117134	0.029988	1.526462
1.596211	1.172225	2.145757	1.146475	16.276392	7.33972	3.345579	0.074612	3.46329	3.963107	0.278085	0.641758	4.104735	7.440712	1.491393	1.702842
1.02432	0.309156	1.450946	4.458489	7.042822	1.163829	3.631837	2.211691	4.083309	1.87078	3.848383	0.794616	3.731119	1.641952	0.758142	1.841157
0.66916	1.732659	2.116883	2.986586	6.290589	5.897327	1.523743	2.166106	2.126274	10.540565	2.133933	0.541026	1.572566	4.085137	1.124466	3.221206
2.093881	0.442698	0.529398	0.06562	9.286045	3.48205	6.932144	0.44939	0.060237	3.788656	0.611327	5.053246	0.25212	3.843161	4.124993	0.709343
3.811847	1.143114	4.33394	5.147293	10.989652	3.06401	4.539666	0.519327	2.708328	0.858999	0.383149	0.202078	3.137191	9.364351	1.05643	7.655572
8.268071	5.522611	31.677472	30.457224	33.502535	35.271636	0.077368	8.44791	13.340683	1.90834	8.322394	8.409314	0.742185	9.222231	1.28947	0.187155
0.105704	0.620641	2.179523	1.07248	3.73712	3.391826	4.966997	0.512791	1.421485	6.078892	3.027879	1.682695	0.341514	4.038451	0.962721	2.13766
1.17344	2.417265	5.599705	5.997228	8.165997	7.890687	11.448476	0.49684	2.18995	0.417492	3.173659	2.085903	0.991535	1.526072	1.809791	0.647206
0.078089	0.891691	2.007027	1.422854	2.321876	2.197883	8.040115	0.853325	3.320983	4.964703	0.174978	3.511076	0.247424	0.069236	8.198691	3.278117
3.972406	2.069539	1.72401	0.083129	2.596085	5.380709	8.898544	0.679235	2.943227	18.311171	0.067709	3.96063	0.020842	1.438205	0.599504	0.11644
2.495375	0.387335	2.962732	9.724301	6.764958	1.197929	6.355443	1.933365	3.020431	1.666494	0.105018	2.950738	4.462527	2.577868	12.859996	6.14819
1.172207	1.995923	3.068487	2.81056	0.25518	0.028594	11.022256	1.503811	0.094905	0.437623	0.785606	4.804842	3.817987	7.591939	1.156233	3.391992
0.707652	2.345186	11.17982	7.949373	18.607109	6.80724	17.805682	1.231913	7.686772	5.453519	7.238317	3.374928	4.907796	1.663929	3.407472	1.899343
0.719161	0.744025	1.764185	1.949476	2.834896	0.370941	0.149458	1.09702	4.074153	1.43798	2.55444	1.773351	1.051535	1.729263	5.487802	7.706696
4.83182	4.072425	4.075542	11.451457	13.067115	18.964328	5.73122	2.107125	4.470237	2.234014	3.79439	6.3814	0.298794	12.312258	16.032003	1.76985
4.569025	5.522844	3.473872	4.133144	11.186918	15.440782	9.450477	1.67747	2.420524	3.581255	1.000478	1.297018	3.152183	0.902066	2.595311	0.024068
1.831249	1.189205	0.575421	2.059809	1.956298	5.591927	2.469532	4.006896	1.317285	0.512066	0.193299	2.427157	4.232966	5.513795	0.192343	0.135257
0.358938	1.190784	0.500388	1.031971	6.271131	7.542686	7.166698	0.400404	1.044485	5.123998	0.134087	2.599906	1.494687	10.77554	0.439345	8.020037
0.201502	3.765757	3.307157	11.349452	6.494041	4.79206	10.181173	0.399159	0.313169	5.026174	0.186417	0.490487	0.54831	7.261168	2.058132	3.925361
1.269258	0.140666	0.014848	1.28227	1.919203	0.691539	1.034101	0.369175	0.765463	6.346235	4.83367	0.099844	3.104427	0.396214	0.388185	0.484122
3.35643	3.334854	2.71135	0.58377	3.729002	6.632815	1.396513	1.492648	0.266656	5.897836	0.292757	2.514805	0.899188	4.077433	0.896605	0.111233
4.570563	0.994761	7.998767	3.688461	13.390808	14.033671	8.069488	2.964356	8.31476	0.82827	1.960053	0.707753	0.389976	10.802239	0.593007	0.161092
0.748826	3.293063	3.406344	0.875454	2.995933	4.900328	17.596315	0.40875	1.345964	1.427956	2.832145	3.735549	0.108859	3.061132	2.128869	7.749147
2.542646	0.66524	1.303154	7.211299	15.862711	7.178059	5.646094	4.49107	3.781239	0.874139	0.613016	1.210207	0.073132	1.387848	2.805511	6.489537
3.211492	1.57463	1.422906	4.843321	4.515646	0.637897	3.96541	6.738736	4.330381	5.809552	6.187545	0.201056	0.621666	0.101529	2.303101	1.905321
8.649296	9.036372	6.700778	10.111275	12.75928	8.624915	1.147876	1.194484	2.774667	3.720895	0.545024	0.00203	0.829957	10.189334	4.684088	1.009584
2.892205	1.045606	0.605244	1.942196	12.573585	10.759505	14.112226	4.985117	13.682946	0.047008	10.944016	9.853709	13.566846	11.773415	2.071587	3.057457
2.825519	2.935647	1.283871	8.655376	15.549496	7.692654	3.407979	2.234887	3.448553	9.078936	1.907436	1.194141	4.608843	0.209272	1.413719	1.289655
7.086898	2.761638	10.938779	9.110561	9.740636	8.49425	1.593918	1.667707	6.515071	0.111657	3.270814	8.312106	0.878216	9.792661	2.386206	7.770601
0.765019	0.256675	2.38265	0.616389	1.513546	2.983916	3.921924	1.532872	1.94022	3.583537	1.649992	5.537332	0.11764	0.100688	1.615146	5.617607
1.703082	3.518473	0.070882	1.053925	8.48272	3.960375	11.13134	1.440021	0.303131	2.617199	1.90975	3.553598	3.514657	5.742389	2.991002	1.901299
