DorsAttnA-ContA	DorsAttnA-ContB	DorsAttnA-ContC	DorsAttnA-DefaultA	DorsAttnA-DefaultB	DorsAttnA-DefaultC	DorsAttnA-DorsAttnB	DorsAttnA-LimbicA	DorsAttnA-LimbicB	DorsAttnA-SalVentAttnA	DorsAttnA-SalVentAttnB	DorsAttnA-SomMotA	DorsAttnA-SomMotB	DorsAttnA-TempPar	DorsAttnA-VisCent	DorsAttnA-VisPeri
0.265068	1.98573	1.16662	0.888431	10.175651	7.036722	3.852666	0.908681	1.097207	4.599229	1.54946	3.864981	0.9111	7.739641	2.656662	4.932774
0.779015	0.453256	1.359976	1.463667	3.634331	0.544355	7.333631	0.218631	1.031305	0.123891	0.275381	1.285885	3.382589	2.033567	1.118669	5.084328
9.286307	5.196069	1.432897	14.375695	10.821001	13.276309	0.601178	3.339356	0.581745	9.582446	2.935329	0.294	6.135514	3.171264	5.118505	2.182756
0.880909	0.5477	0.148795	2.692738	9.152489	8.003777	24.388581	0.181174	4.318596	8.629336	0.609366	0.67655	1.696059	1.917533	0.086742	0.633289
1.066144	2.686416	1.464696	1.281251	6.39789	0.061992	4.536724	0.205255	0.326059	3.049984	2.938587	4.292944	1.101898	6.658962	1.661708	0.150933
0.212564	1.985199	9.509043	2.546341	0.147439	0.597703	1.18248	0.080208	0.322576	4.489222	0.616514	4.360048	1.786315	1.394657	0.335199	3.043553
12.686847	10.218695	11.336705	14.487678	18.822745	14.930597	1.521399	11.057972	12.498264	2.540407	9.873754	5.325498	5.286094	24.197039	0.433313	4.786549
0.029787	0.206029	0.870295	0.152292	0.882349	1.685497	11.801366	0.030132	1.817986	3.406931	3.038391	4.741427	4.131806	1.529264	0.147137	0.400299
0.293792	0.282981	4.366237	3.748813	4.446464	4.657013	10.676744	0.495952	0.307196	4.071887	0.378249	4.098816	2.867707	0.609018	2.135851	2.062041
0.371211	1.098622	1.214014	2.029759	7.011219	7.540164	3.481505	0.282982	2.894354	10.731602	0.670979	1.028229	0.603271	8.666687	0.811006	2.652768
0.242859	0.638308	1.869588	0.646692	10.258673	6.111624	1.354818	0.874019	0.617775	0.297608	0.339206	0.200594	0.087802	5.793447	0.022516	1.600669
0.056119	0.328466	2.504696	6.207784	3.831852	9.406688	6.732693	0.13271	1.313999	0.380621	1.618646	0.836986	1.83187	5.23035	0.150466	0.35304
3.515592	1.031914	3.700036	3.784403	8.818095	3.553501	2.164892	3.704438	4.453791	0.302718	6.253073	1.544802	0.060934	4.26395	2.078865	3.651684
4.78471	6.931226	0.555067	2.295535	13.072894	16.66464	18.349606	5.548395	3.078809	8.962469	4.505962	2.836328	10.31476	9.877438	0.647037	0.392357
3.067502	4.222281	4.921301	9.674306	15.118676	16.57249	6.46729	2.101374	0.115459	2.44965	3.226098	2.756269	0.99669	14.011515	1.325582	7.425727
1.257108	0.84759	2.329545	5.277255	5.99412	4.120002	6.918138	4.889623	2.2405	1.544969	4.664611	2.7088	0.540593	1.398743	0.643072	0.491107
0.832059	1.984742	1.299463	3.391608	8.206286	8.745032	4.175509	2.224815	16.153236	0.273455	1.307062	1.621484	0.799674	5.208057	0.270556	3.142101
0.355085	1.617415	1.056108	4.140629	0.242275	0.138304	11.094458	4.535474	2.329925	10.188846	5.938034	2.461739	2.040252	2.476858	5.41735	3.5178
6.970127	2.352479	1.542345	1.581007	5.055541	10.765399	3.038443	4.328866	3.3617	7.901182	0.573086	3.385658	0.899858	2.110541	0.563728	2.233034
0.058389	0.281814	2.002853	12.619638	12.503024	5.378992	0.674673	0.308612	0.534718	1.813732	1.264599	1.455861	5.741057	5.574157	0.564162	0.007953
3.065043	1.155121	2.540953	4.842716	8.476964	0.71044	3.740561	1.949385	4.470401	0.223928	3.778163	1.837757	1.408	2.086885	1.153594	0.115533
1.653203	0.056189	2.968855	5.209941	4.501699	4.092817	9.302349	3.397205	6.339321	0.511635	6.819414	0.487256	0.244647	3.888551	1.488804	0.1369
0.548653	1.537701	0.580164	4.212488	2.974811	5.911619	6.380146	1.466528	4.990185	0.195913	1.042554	1.337438	1.573461	2.237694	1.054887	1.193733
0.275956	0.786384	3.474107	2.50786	1.046993	4.285999	5.038675	4.016038	1.666686	1.27983	2.217381	15.274972	7.575793	13.994949	7.094648	4.570358
7.137341	3.298596	1.200876	1.599004	8.816549	5.284595	8.675002	0.717478	2.397482	2.707583	0.124377	0.230247	1.168921	8.944525	9.454355	1.565583
1.73632	0.27417	0.648486	0.496183	11.100668	7.066973	2.824877	0.897187	0.108708	2.1519	0.037183	0.531694	7.854481	1.41516	1.517861	0.983442
1.625129	0.150303	4.875991	6.46669	12.375313	9.761418	0.28232	3.494858	8.959845	1.7616	6.280798	0.489771	0.337521	3.51184	3.306141	5.814978
2.704636	5.522811	6.614201	1.63986	5.400022	1.602788	8.151999	2.362889	1.81028	9.580592	0.153034	4.934162	0.491117	0.533619	4.98559	5.215903
1.613344	4.357904	2.825464	3.936038	3.498765	0.769666	5.731853	3.181522	0.338515	13.222696	1.35642	2.003122	7.894716	0.528993	1.530739	3.145126
1.777928	0.943481	1.072912	6.032046	2.791935	7.692114	3.896945	0.672199	0.494531	2.106343	1.459492	0.708922	0.251556	2.177997	1.662954	0.174283
1.336447	2.447264	1.014273	2.146846	7.036026	16.969304	3.692177	0.02743	3.705903	8.440457	0.124749	2.585117	0.192467	6.650148	5.084163	1.776977
3.18299	1.07208	3.785361	5.562336	7.276195	0.682623	4.003708	1.357399	7.84623	3.928339	2.175154	5.222024	4.386067	5.358666	0.257213	4.74324
1.79645	4.653066	4.162847	5.464487	21.787399	16.508113	5.130213	0.614521	6.618662	2.98896	0.513497	1.780314	3.53588	7.681372	0.740242	0.91706
0.012956	0.342229	1.807844	0.555298	18.975494	11.390975	12.171046	1.667935	6.842124	10.473472	1.0079	2.413605	2.069063	1.686985	2.363205	1.967598
0.48742	0.376736	4.38052	6.962932	10.886911	0.961039	1.577666	2.002858	2.858254	1.1745	0.402672	0.462113	0.32005	0.704839	1.461981	1.408536
6.996142	17.561132	0.969779	5.531019	14.52865	16.441414	5.920487	1.833743	9.222778	5.406578	0.863564	0.511564	5.696203	9.042137	1.243356	0.057332
2.032354	1.131888	1.840949	0.222167	2.870494	2.652154	3.40484	0.377938	1.292902	1.196235	1.530737	1.656916	0.625937	0.013255	0.403248	6.511332
4.898124	11.090938	3.180014	16.909538	28.967301	24.792215	7.000374	1.011929	16.956905	0.818948	8.437387	9.570355	1.522482	0.705079	11.605501	3.080096
1.987653	2.445821	5.416034	14.477501	6.518536	0.672168	1.325981	4.695265	3.324638	3.082418	4.021471	2.767168	5.317286	0.125928	0.769629	0.307457
2.08618	0.88513	1.81167	1.271093	6.441378	5.223359	2.665999	3.431241	0.189552	8.836769	2.128942	0.995802	1.391154	2.232973	3.909127	2.263942
2.660615	1.854476	0.245391	1.897002	1.287389	3.890799	2.018145	3.254823	2.108563	0.559638	1.296411	3.433104	1.469043	5.069929	3.107647	1.637391
10.189695	0.050496	1.20147	8.111357	10.356324	7.932232	7.33472	4.71411	7.950564	5.853465	3.140963	2.915253	1.370172	3.339309	0.358958	0.612219
0.146691	1.390076	0.499764	2.440282	4.340856	6.777255	3.003828	1.852875	3.901428	0.798443	5.350282	0.51737	2.619604	6.81872	3.823327	2.311853
0.92882	0.46172	3.451886	4.39889	5.167492	12.364341	4.160442	0.399335	0.997447	1.813865	3.235039	8.555299	6.019	3.574909	7.347302	7.731346
0.950202	0.305872	0.65499	0.464452	4.926841	10.986236	0.746192	0.60763	0.201579	0.715105	1.099532	4.055385	1.696039	4.892396	0.783035	1.803635
3.649267	1.257261	0.387104	4.275191	4.362712	6.341438	0.860413	2.521904	1.898124	2.596878	4.284811	5.407995	0.232757	10.822971	0.628861	0.091502
3.910995	1.339639	2.17433	5.352864	4.314961	3.105281	4.045049	1.704766	0.445031	1.777523	3.503342	2.942055	1.356203	0.94539	3.265062	0.641857
2.772922	0.234248	2.588605	5.488858	17.32166	6.540469	2.076919	2.079291	6.143542	2.953383	3.901029	4.544077	2.17532	6.068379	3.753764	2.827052
3.251031	3.039255	0.8731	0.371949	1.355994	3.910344	17.282146	1.364122	2.437578	10.185959	0.89852	4.943263	4.358877	10.555096	6.333992	4.937083
4.159538	3.375498	1.232561	3.647411	6.392808	8.079518	0.330476	1.875218	0.600004	2.507091	2.302393	0.96422	2.867598	4.084836	0.652214	2.205333
1.83965	1.012695	3.560615	4.669594	3.863665	3.715469	5.512339	2.4373	1.813484	2.04988	0.840177	0.970508	0.320024	4.236586	5.508835	0.486949
3.08358	1.03382	0.236267	0.483258	4.975092	3.18935	8.015412	1.053553	0.925287	1.89317	1.250502	1.11596	0.57465	6.480768	2.043507	0.290416
4.698151	2.71853	0.944966	7.144427	9.281504	1.581871	1.142223	2.972762	1.601635	1.674477	4.563713	1.261049	0.375603	1.852191	0.991595	0.663373
0.573641	0.166459	2.876442	2.611643	2.595384	2.38795	1.543595	0.630211	0.778701	1.647948	1.031974	0.526834	3.122991	0.881855	0.902536	0.386976
1.919209	0.166524	9.107636	3.12	7.247092	2.88464	11.606914	0.099677	0.207667	2.374514	0.382666	0.304167	1.369048	5.380727	1.299221	0.927465
5.726111	1.029375	6.130768	5.680325	11.717663	2.566953	3.156244	5.946334	15.804062	9.099281	1.379001	1.93303	1.488444	0.257357	2.788931	3.569593
1.629819	3.275139	2.217829	1.416924	3.25076	1.343561	8.330912	1.76366	0.149416	3.143794	0.812287	2.256757	1.387023	2.456873	0.194802	3.437257
0.903004	1.391192	0.137927	1.419423	4.194019	2.727361	11.834378	0.311737	2.78346	0.283752	0.654995	2.252021	0.85276	0.032776	0.540179	0.615358
2.515321	0.310793	0.23355	5.553868	5.494937	3.987629	5.717208	3.020586	2.892649	0.694181	1.837265	0.787108	9.409008	3.933971	1.00526	3.712348
0.326191	0.412375	0.083968	0.663336	0.639901	0.047727	5.999357	0.815631	1.69952	6.514446	3.709055	0.209359	0.755134	1.031542	1.144009	7.403685
7.197248	7.300646	8.130539	6.687598	6.667631	6.542702	2.354843	2.707544	1.006567	10.455923	0.228748	3.495689	3.691643	7.297842	8.1e-05	1.878
0.06095	2.714408	0.88348	2.60808	8.786621	8.107555	9.323094	0.407889	6.308902	1.776215	1.679084	4.308761	14.195883	4.773741	0.036582	0.290443
0.996474	4.070701	1.858829	5.735685	14.161676	9.915097	36.141334	0.460935	0.289658	3.754197	0.653104	1.400234	1.134572	11.165471	3.444567	1.509582
10.586604	12.161682	6.682517	7.400598	25.293073	11.470133	7.774702	6.354383	15.798355	1.042307	6.985892	9.651218	3.848728	2.825317	1.245788	11.019423
0.435718	0.419673	5.725036	3.571778	3.766112	2.42761	11.829322	0.145154	3.297509	1.200946	0.405352	0.234432	6.144102	0.266748	2.871453	0.060424
0.800006	5.079289	1.956338	5.686901	0.824582	3.607792	2.829475	0.031579	4.982121	3.258354	5.099995	4.552303	2.46124	6.88902	0.417917	2.588974
3.983665	1.037982	10.077505	10.636432	11.257789	5.692315	0.234303	1.587339	4.867588	2.493346	0.070441	1.009448	1.512473	0.306198	14.48921	2.612778
3.287023	5.950452	1.536121	5.381633	13.862988	12.197228	10.964638	5.718506	2.605549	2.66881	2.156565	1.703688	4.127213	6.672576	0.634477	0.760766
0.29161	5.69897	5.394141	2.578214	4.891351	4.449536	4.778812	2.768599	0.900054	1.685923	1.363281	0.667794	3.760683	2.013315	1.256849	1.058087
1.659469	1.192823	2.647789	8.049972	6.861091	14.280731	1.629987	1.703258	11.906022	0.006022	2.51787	5.056603	4.02182	0.183727	1.27356	2.057166
0.884879	2.602337	2.312749	3.27337	3.042901	2.030915	11.22559	1.684832	1.696366	0.376116	1.006245	7.655374	2.90697	2.468938	2.722101	6.378405
3.051445	0.269523	1.458367	4.001036	2.44741	2.66865	2.23934	2.163603	0.305385	0.374373	0.456518	0.834688	1.768901	1.736265	1.15469	2.987194
3.495332	0.542371	0.309522	0.834527	4.030735	4.307693	3.523124	1.776675	5.67285	0.276183	1.079256	0.412757	0.311562	3.624934	1.046858	1.430391
9.011202	13.397366	9.56492	17.39334	3.809075	2.136505	22.566806	9.571278	6.954713	1.702179	5.682792	2.995689	1.11406	7.898486	12.082971	10.143642
7.875668	3.102913	4.850862	13.888214	22.479359	6.557648	11.664423	6.131751	5.988676	6.121311	6.199021	0.31431	2.860656	7.216394	1.008857	1.394453
5.001399	0.516559	3.458756	1.26696	0.151277	1.157269	12.520222	5.244434	8.150171	1.914218	2.081571	0.384059	0.277621	1.265232	3.807031	1.653588
2.863332	6.281047	3.63076	15.745826	6.07132	0.444732	11.292522	2.086499	0.77829	4.332781	0.314351	6.914384	3.223902	1.681293	8.289259	3.309808
3.067732	2.8448	3.531602	14.830481	16.34842	3.415148	11.266452	1.948985	3.368389	8.433855	1.438117	5.393016	9.191587	3.783266	4.839939	8.621622
0.625208	1.358384	6.499847	1.579274	2.718659	1.911473	13.352642	1.73294	2.281684	1.614615	0.716743	0.038586	0.347173	2.171285	2.311173	1.269204
9.051555	14.75845	7.405862	5.924999	6.471879	7.330697	8.610726	6.577336	13.433272	6.609131	5.137811	6.654651	5.741798	7.804641	1.367319	0.270039
4.400404	9.278823	2.755361	3.921497	2.676576	2.288339	0.685034	3.826071	3.597977	0.224836	4.298039	1.203008	0.943508	1.170388	5.920402	2.936554
1.49098	3.161478	0.756043	8.706775	2.822828	7.327464	1.377257	0.24612	8.068188	1.169231	2.276789	3.705223	5.601416	3.820514	3.03612	5.929293
5.655947	0.651642	11.195629	15.892179	16.400433	4.936522	6.169201	0.829332	3.683271	4.432264	5.470423	5.065321	7.408446	7.377578	0.272168	0.633457
1.782667	0.320843	0.42912	0.773922	8.578995	3.425488	10.600285	0.160555	0.528543	4.868441	3.347041	0.127954	1.790787	3.371767	3.52229	1.801384
7.008182	0.807616	3.115327	1.631022	0.762858	0.249127	12.916311	6.424458	6.150247	18.257599	7.348776	4.041581	1.910442	14.42128	0.201491	3.56957
4.921002	8.11884	11.074704	7.300658	14.600455	4.700906	11.596808	5.732271	0.983967	3.206955	0.620018	0.501866	2.262361	6.984534	8.471777	1.651385
1.85067	0.209938	0.593062	2.343809	4.088348	2.45108	11.322839	2.063641	2.501515	0.526183	4.575356	0.079397	0.578664	2.928583	0.80548	0.247355
3.723871	0.906896	0.066904	2.244914	4.362176	6.870844	3.679015	0.714451	2.831631	3.870132	3.600992	0.012291	2.120576	2.584345	1.695773	0.906608
0.314277	1.848147	9.552671	5.308301	8.620371	0.263208	10.381711	0.60876	0.856524	17.233063	0.124027	1.560755	1.91274	0.83623	1.889166	2.010273
3.142047	2.309741	4.086889	11.023918	11.243676	3.713377	19.842165	5.607102	2.493799	5.440316	0.451021	1.57565	1.321794	0.734811	1.295971	0.211377
4.813082	3.005159	3.943596	4.125309	5.102237	2.054718	16.414738	2.690222	7.414493	15.794465	2.543129	4.84822	4.579369	4.1504	0.498763	1.550218
2.251139	3.713517	3.364098	5.773625	13.22087	5.623028	0.22052	2.741478	18.502852	2.065075	0.203447	8.834631	11.623543	6.302892	0.835246	1.771276
0.211649	0.286284	0.769489	0.265627	6.598993	7.772155	6.752572	0.543694	3.396239	6.102263	1.249229	1.533083	1.295724	1.407547	1.982814	5.505603
5.259343	2.931925	9.243565	1.672228	7.533265	12.614449	25.218896	5.795075	1.668991	17.60084	2.550926	1.766014	2.690884	5.385088	0.419749	0.615286
0.377244	2.023814	2.434051	6.868469	7.317366	2.334565	7.853813	1.83774	3.392988	7.960682	3.214436	0.940717	0.949502	1.519221	6.578086	9.095813
2.27207	4.453169	1.35592	2.323731	7.313324	5.18878	2.262745	0.710654	0.826986	0.40678	0.843021	0.813856	1.305136	2.605255	2.203432	0.008119
3.202768	4.564984	0.172334	1.936158	1.044505	7.576137	16.086255	0.875311	1.041064	10.985448	4.315467	3.276772	2.364098	16.94687	0.559288	6.947032
0.211911	0.296819	0.582692	0.697619	0.79302	2.188875	6.091685	0.57603	0.98626	4.731604	1.03049	1.05743	0.780068	4.113804	4.744918	1.95064
3.504057	2.00578	1.038957	0.372838	1.775504	12.321169	1.310545	4.88851	3.079574	0.62417	4.556737	3.410318	0.113617	10.968272	5.096413	0.482291
5.255592	4.910446	3.836143	18.523091	11.637654	6.358038	1.284895	5.134537	4.912889	7.362416	1.531458	0.318344	3.231806	3.827962	0.669999	7.089869
0.29776	0.461099	0.702543	6.386639	7.526302	12.845934	4.469632	1.064981	1.541275	3.503185	0.488671	0.957591	0.290942	4.872812	8.238346	1.813861
1.861616	5.320472	2.430077	5.175905	21.900507	4.974798	3.064195	3.136056	2.56811	17.643224	1.449811	1.178987	0.190353	17.750566	4.385379	2.762673
0.015413	1.552934	0.394421	5.295595	4.131573	9.191162	3.088507	0.369767	1.65877	1.150218	0.118831	1.95171	3.559166	1.385682	3.012396	0.890661
0.423196	0.314052	0.32574	3.612491	2.058137	3.190108	3.04468	1.096435	1.052524	0.454749	1.529548	6.679497	4.219464	4.008267	3.587776	1.241296
4.19457	0.182035	0.274464	0.136684	1.013193	3.098676	7.988266	5.117225	1.656875	9.85039	5.115464	2.097882	2.489695	3.090185	2.588857	2.285205
2.652522	1.654091	2.693714	1.246096	4.419475	8.733812	3.581545	1.778248	5.552139	2.3768	2.52752	1.506186	0.629317	0.250237	2.12335	2.229632
2.027233	1.357055	0.987243	0.939908	3.565983	2.102619	0.701518	0.949399	2.51806	2.658472	0.205199	0.351374	0.492211	3.234719	0.665384	0.20312
0.059717	0.917347	0.010008	0.817598	4.338372	6.714512	18.429914	1.345754	0.879422	4.533896	0.770855	2.026657	1.31756	10.641549	0.772242	7.926746
3.799464	0.821573	0.40936	0.695005	2.232406	0.777736	8.894257	2.485984	2.118779	4.751159	0.303226	0.015247	2.602656	9.801279	0.033519	0.795841
0.169778	0.379022	5.719253	2.985861	1.428095	0.089998	14.101004	1.380746	3.36568	10.295182	1.926849	3.508892	4.769365	0.068301	1.02762	1.182048
2.536135	1.374041	0.34678	7.858113	14.598308	14.689211	6.159299	1.155649	3.164254	7.58769	1.715196	0.467932	0.037123	7.919677	0.460761	2.797199
0.926214	0.538854	0.54959	4.670325	7.932236	5.406286	2.991492	0.574518	9.166378	1.112432	5.359315	1.773348	0.468742	9.662113	0.470992	7.122714
5.107959	0.045251	12.94781	13.440997	21.153701	0.331888	1.159886	7.977901	7.253182	4.233553	7.713002	1.014521	1.415556	0.405502	5.346542	0.523388
0.640947	4.295916	8.348018	2.668708	2.676452	3.554187	3.195691	2.281203	2.299593	5.173106	2.277441	3.019445	0.638978	3.438212	0.495406	0.701702
5.486624	2.109197	2.456669	0.825824	9.597975	6.993266	2.189653	2.780562	6.795946	0.895075	0.932792	2.79713	0.015422	2.043195	0.534361	0.186779
