SomMotA-ContA	SomMotA-ContB	SomMotA-ContC	SomMotA-DefaultA	SomMotA-DefaultB	SomMotA-DefaultC	SomMotA-DorsAttnA	SomMotA-DorsAttnB	SomMotA-LimbicA	SomMotA-LimbicB	SomMotA-SalVentAttnA	SomMotA-SalVentAttnB	SomMotA-SomMotB	SomMotA-TempPar	SomMotA-VisCent	SomMotA-VisPeri
6.20248	8.83617	4.999098	3.621415	2.512942	0.577041	0.251985	0.135412	11.814484	6.396032	1.328825	12.900293	1.22703	0.087441	4.400106	1.912813
8.261164	23.346857	2.893147	5.509405	32.956488	13.803522	0.705701	1.447839	8.702591	22.742737	0.458965	5.698575	9.595381	2.570904	3.398462	17.486499
0.057204	0.650863	0.667844	2.095149	1.514146	0.635138	1.20384	0.305985	1.638342	4.034407	6.332071	15.782603	0.129914	0.93949	11.07494	8.618527
0.721178	1.867915	3.538317	3.319077	0.639271	0.350466	0.449932	1.353756	1.331407	14.957222	0.294811	3.16028	7.701806	0.868248	6.414765	3.856372
28.846847	32.071335	3.990095	1.837785	3.846436	5.559044	3.895743	4.457145	18.017773	5.685514	2.511774	14.829206	4.822319	1.568905	12.610997	8.534371
0.983438	4.454427	1.598001	0.218911	0.65288	1.857235	7.514917	0.046101	4.454927	8.452096	5.117172	5.008097	4.874578	5.032277	9.078209	5.978731
18.196335	20.676732	3.793998	1.303493	12.762844	23.074194	0.152674	2.286152	16.803739	19.011822	1.681812	14.750199	1.77031	15.260495	0.973977	13.04456
0.822877	0.925602	1.608973	1.881664	2.602755	2.790695	3.233546	1.247288	4.232284	6.225441	0.755019	2.967818	4.941524	0.583856	0.497065	3.7975
1.743292	4.645691	1.252529	0.097755	10.767337	6.590632	0.106409	2.708558	0.918459	11.383889	5.125549	12.896129	4.92217	6.019717	1.513021	1.64706
2.137117	0.32908	0.567452	0.146081	0.667904	0.140245	5.227069	1.889511	3.576002	7.930841	1.898625	3.854565	1.399804	7.301378	5.450988	9.6618
23.4857	15.027863	0.01715	3.111436	8.781824	0.70771	0.780948	3.865206	17.356914	11.390848	0.04194	10.721702	1.166991	0.343747	0.852928	5.97496
2.055379	0.978118	1.196065	6.624792	2.425143	16.110183	3.696651	2.904951	1.149853	1.653822	3.690968	2.070162	7.129	1.963949	15.034109	5.380215
23.890428	25.667932	1.03674	4.689174	11.242808	19.23541	0.972173	3.389068	22.136371	25.367889	0.700805	35.099029	12.952206	7.390746	14.786884	8.237433
1.53823	8.939761	0.955883	1.379081	1.64595	1.934443	0.79492	6.440199	4.54307	6.095075	0.525876	7.483929	7.297567	0.339048	16.597855	2.958186
4.939956	18.257985	9.540205	11.048136	18.882926	11.959279	2.769478	2.313696	11.404746	14.707765	0.168908	10.496229	4.952748	0.643741	3.105398	0.157388
1.899031	7.22459	4.423078	0.484231	1.389428	1.506539	0.361206	3.303237	11.787768	5.912758	0.434533	5.501916	3.599152	0.621229	11.460308	1.776311
0.294298	10.161139	2.461303	15.255559	14.793818	14.154675	3.322396	2.586464	3.767842	20.955282	3.804169	21.800384	21.567114	21.576435	9.73977	4.458534
29.257129	13.713851	0.548959	0.339095	2.183824	2.945993	1.836981	4.054663	9.011089	6.605607	0.559415	6.304314	1.685094	0.891431	8.834478	6.797402
1.36123	1.628763	1.310163	2.344371	0.541651	2.833921	0.149231	2.084886	3.046181	1.012717	3.701444	1.552438	2.094487	0.459715	12.571157	8.543199
24.07856	18.472724	2.548479	3.831222	15.524839	8.70886	0.230793	8.093431	16.736618	29.291298	2.452012	18.300787	9.398976	4.837177	21.96228	22.259141
6.937006	6.286127	2.656965	7.058275	4.616406	1.594562	1.987829	9.865526	12.654271	23.387914	1.771048	17.299243	5.436039	1.691777	2.905194	5.71632
