SomMotB-ContA	SomMotB-ContB	SomMotB-ContC	SomMotB-DefaultA	SomMotB-DefaultB	SomMotB-DefaultC	SomMotB-DorsAttnA	SomMotB-DorsAttnB	SomMotB-LimbicA	SomMotB-LimbicB	SomMotB-SalVentAttnA	SomMotB-SalVentAttnB	SomMotB-SomMotA	SomMotB-TempPar	SomMotB-VisCent	SomMotB-VisPeri
4.739515	14.298461	14.053766	22.725884	32.112237	4.505773	1.8788	0.953203	6.00371	10.543244	1.088841	3.991444	2.231306	1.113521	3.061997	0.658822
3.302625	0.567611	2.564566	2.980056	2.626391	3.318535	1.61459	0.720864	3.214534	4.010245	0.077202	2.502062	1.878538	2.4772	10.543494	0.560958
1.874285	1.301291	2.445905	3.118267	3.795317	3.347239	1.106982	2.50657	2.71357	0.331385	1.220388	0.162898	1.156944	5.885491	0.385915	0.574617
0.381365	3.064408	2.951167	3.07831	1.081104	5.066046	2.923204	1.51074	0.518593	0.384915	5.94397	0.267571	7.578091	2.032961	6.963443	3.612465
1.628779	0.949429	2.732883	4.489528	2.478625	3.356801	0.51728	0.070863	0.554403	2.760289	0.489712	1.347813	8.608814	5.041483	2.537281	2.242184
0.225056	2.434103	2.442897	1.041054	0.077832	2.48349	2.32606	2.054968	0.843246	0.0072	0.12256	0.627595	2.951922	1.955027	10.756676	1.035342
1.866431	5.728752	6.634041	7.931164	7.088366	0.733995	4.078966	0.147891	0.54937	3.082563	2.68617	2.221784	1.388276	1.899115	1.415859	1.395049
6.356941	1.810694	1.652011	5.818066	5.17615	8.016159	1.136248	0.577723	4.344949	8.589519	1.612631	4.880852	3.842891	5.221716	0.3153	5.607137
1.548263	0.992801	1.768851	5.625404	7.134502	4.874602	6.064582	3.731902	0.649496	4.281457	6.72263	3.139286	0.686639	6.24377	3.587362	0.047125
0.423353	0.755158	3.453259	0.910148	2.669091	0.171009	1.662229	3.141452	1.975247	1.978784	0.889889	1.637737	0.583281	2.732159	3.881202	1.109834
1.064139	7.169171	6.643884	1.975237	2.783274	6.376355	0.522969	1.00938	0.123706	1.10058	3.803839	1.503381	0.931124	5.231194	3.871472	2.092338
4.496032	10.152288	9.073511	3.632636	5.228052	5.84598	0.484902	2.898642	5.958343	6.854416	0.014068	1.579847	4.638939	7.080804	7.096975	1.508242
10.346375	10.064511	14.692677	15.195066	11.208254	4.560594	0.519564	7.766843	12.488842	2.383831	5.981516	3.588744	4.688022	3.592793	0.145946	1.261758
2.10466	4.924604	4.044239	1.831706	4.844584	1.003616	0.263144	1.776195	0.867196	2.243204	0.031455	2.211761	3.881344	2.54814	1.252747	2.407198
3.204447	1.340394	1.474724	1.432169	3.235432	1.102767	0.871994	3.32096	2.454005	2.525857	0.536749	3.349508	1.926929	3.340407	7.616737	0.294416
1.326555	0.905171	2.68563	4.957817	8.232382	7.586266	3.23905	0.554682	2.387164	5.902879	3.8432	11.885417	8.894876	3.150044	8.18593	10.294801
2.96889	3.923426	7.113737	5.105191	10.20513	2.428401	1.644254	2.622768	2.831053	4.556174	1.673984	2.215507	1.636791	1.577633	3.412685	1.530438
8.181937	0.550234	10.123965	7.219521	6.7137	3.639127	0.674119	2.62423	9.985015	14.770206	4.768544	9.722639	6.418123	1.770205	5.294757	0.288788
0.989122	0.611535	1.646343	0.497684	0.922949	0.87756	0.149735	1.902275	2.494071	0.48789	0.732955	6.037942	0.200032	1.865386	3.451271	0.087209
1.768617	0.256246	1.297291	0.461341	0.488671	0.219914	0.074063	1.210196	2.30225	2.576433	1.161532	0.577893	2.514403	0.125222	25.619018	0.124713
10.214332	13.933952	5.77803	2.219348	10.709976	12.148402	2.959893	1.076002	9.893043	4.911347	1.864715	0.346697	2.273222	10.514615	0.196261	0.336165
1.895725	0.749949	0.835183	0.169841	0.385423	0.552222	2.38753	0.738442	2.645562	0.527892	5.570444	0.952357	1.42576	1.903942	1.841539	1.492496
4.528256	8.400135	8.466218	5.959871	6.804493	6.164633	2.728943	1.423803	5.655405	5.160031	2.342693	3.695909	2.662601	6.846923	10.13066	2.165855
2.570094	2.350225	0.673699	0.514701	2.608707	0.308912	0.10278	3.610604	1.208472	0.944077	5.246618	1.313279	0.464377	0.955942	4.203658	0.010754
2.074895	0.694045	8.967099	5.942832	2.096125	3.654437	5.179044	5.946821	3.324678	1.825612	0.858644	3.783086	3.523334	0.155809	10.725496	0.979699
1.876516	2.137596	2.402105	2.059595	1.47136	6.533041	4.061733	1.515959	1.861629	1.717261	3.75093	3.721555	3.224096	5.709908	5.901271	1.745698
5.433273	7.639777	6.185343	10.027338	8.000346	0.610755	2.011628	2.617384	2.422676	1.413696	0.651747	0.471691	4.155579	1.8401	4.759605	3.706936
0.746697	0.432496	1.806441	0.081207	0.892074	2.330565	1.188178	0.562693	0.590945	0.257487	5.351228	0.517794	1.478547	0.64041	4.322785	2.511386
1.699665	0.706498	2.274997	1.19539	5.050532	3.449015	5.514637	0.265673	0.347854	1.819625	4.557831	0.499567	3.374721	0.10899	1.644318	1.857257
0.821296	1.403253	4.534955	1.043156	0.278856	1.873197	3.353195	1.464417	2.699986	1.795475	6.013737	1.104119	13.660618	0.143538	3.412238	7.739382
8.462965	5.042428	8.305981	4.289357	9.453216	5.284736	2.768449	0.484364	16.256137	11.319215	10.099032	2.911663	10.829373	0.518364	0.309857	3.508749
2.466745	5.31599	5.361991	3.686007	14.718167	10.81881	5.987706	4.067148	1.77403	1.883344	8.087169	2.737854	10.997257	8.057474	1.22332	5.569974
13.665514	11.553211	2.218643	2.772916	4.111334	5.363858	0.017255	2.630035	10.989731	1.919613	9.45412	1.120286	2.926169	2.924714	1.296887	0.57352
0.778186	0.038117	0.482161	0.448016	2.983302	10.10611	0.106281	1.829209	0.569144	5.079222	1.370391	2.492888	5.512124	4.974934	3.143834	1.004115
2.816488	11.010678	5.261045	9.571411	14.834219	0.163043	2.808009	4.047978	2.866584	4.104239	4.900524	4.637446	1.145293	2.059037	1.6127	0.409941
2.52819	1.108207	0.114026	2.67003	4.094515	0.222284	0.626829	3.602118	7.09628	4.054103	0.257875	2.664469	0.092017	1.591228	1.558505	0.225969
0.987782	1.435138	1.167081	0.280501	0.398222	1.840409	1.925275	1.453539	1.218404	0.207171	6.22421	3.222634	0.545084	0.453607	1.810041	1.292682
17.823986	9.759193	3.885688	4.000043	6.156876	8.848572	5.917546	0.524254	9.66244	2.444779	4.223682	3.473497	9.536216	8.068609	21.589486	6.086138
3.511191	5.058383	3.765473	2.458909	3.407284	0.958773	1.250603	1.296906	7.758282	4.400353	1.708008	5.663914	2.052891	0.8251	13.89124	6.234628
2.057566	1.690008	0.424841	4.680092	1.832965	1.164807	5.697927	1.338178	1.400391	0.048316	0.482485	0.963276	0.174854	0.618953	1.851716	0.08816
4.293933	0.982048	1.883983	4.265456	1.266975	0.962728	0.402885	1.355215	4.344862	2.368906	0.518884	4.392693	2.886742	0.360348	1.787551	3.151398
1.666354	6.25319	1.606343	2.895321	1.446004	2.318484	1.728353	2.842496	0.171563	0.779783	1.543759	0.021683	0.699707	0.659732	0.125301	0.328053
2.87494	1.934331	2.050805	0.016007	1.517314	0.941518	2.163338	0.056592	1.310546	1.027866	2.231157	1.660261	1.533715	0.596332	1.173407	1.061821
14.132431	6.13156	6.779675	5.837725	10.365056	12.2491	1.464525	0.086685	5.885191	2.458408	0.416393	5.357428	0.256509	12.131681	0.205212	1.757846
5.649311	11.282562	10.668193	15.145491	7.391774	15.953779	1.069239	3.658201	6.451491	1.478402	0.316294	3.726935	1.20116	10.888527	3.61063	8.676425
2.301318	2.707667	0.431087	0.06593	3.908972	1.26305	0.089917	1.528395	0.624891	0.301558	1.191365	0.158487	3.021837	3.097794	6.738941	0.967863
0.365501	1.985065	2.978921	3.00237	5.813981	0.867459	0.558097	2.044786	0.934696	1.021001	1.607781	1.371138	2.651217	0.060495	4.661974	0.131512
3.660064	7.417916	5.003999	7.825833	8.230068	14.478949	1.544864	3.766946	9.302572	12.432005	0.080815	9.818898	14.721394	7.378175	0.944536	7.006471
1.303612	3.422122	3.670501	3.364313	3.501239	2.797929	0.248584	0.339431	6.196947	1.167519	1.365536	0.30292	0.077263	0.600574	3.559194	1.2248
6.699846	4.19817	6.546293	7.656253	11.820433	1.937354	10.48097	0.052847	1.318889	5.051358	1.908445	0.637942	4.943107	2.118185	11.196805	4.03204
2.113865	1.190557	4.387556	2.638745	0.660527	2.584618	0.539539	0.384593	2.692053	0.116338	4.714074	1.149484	0.277279	10.075573	5.422898	0.819736
0.805267	0.788108	8.402996	4.9481	7.222376	1.769538	2.201839	0.146228	1.04223	3.278628	1.91493	1.89281	7.445591	2.54727	4.530333	1.138357
5.206608	3.705685	2.394564	2.277375	2.228878	2.279754	0.249582	6.137748	3.873308	7.651087	0.481122	7.865683	8.954084	2.94837	1.307758	2.225094
1.265242	0.245032	2.643604	2.831437	0.837997	0.636071	0.307705	0.032611	0.439185	0.936097	5.480423	0.638155	0.218511	0.177382	0.051121	1.593494
2.472988	0.55135	0.15368	0.122676	1.80062	5.597215	1.133244	2.178131	1.595064	2.850985	0.171605	0.781075	1.911198	1.953846	1.326784	0.191125
3.1763	1.264468	1.138397	0.660481	5.847097	2.804489	1.383395	0.071042	0.637513	0.937285	1.287551	2.348767	7.865095	6.605497	1.191771	0.027023
0.961454	1.166794	2.250999	3.080364	2.30902	1.301676	2.252827	0.082079	0.568195	4.049104	0.420036	3.028834	0.486065	4.286633	5.594115	5.068275
5.285909	2.549635	3.478263	0.774271	2.539618	0.182816	3.708705	1.616138	8.241941	5.63063	3.963865	11.316365	4.1701	1.241076	1.012922	4.306638
3.9038	2.710321	1.205738	7.178998	1.780191	1.472364	1.688262	2.257595	0.023066	2.102638	3.053756	0.863052	3.126531	4.241348	0.524007	0.998366
0.964384	4.068849	2.299726	1.505522	4.921712	8.132258	3.246167	1.113143	0.518109	4.691091	2.914105	2.289069	1.536033	7.592783	8.908939	0.577617
3.073217	3.29931	9.36641	8.612571	2.713147	0.813514	2.126059	0.476898	0.336184	2.189877	1.129765	2.346032	0.362783	1.084537	0.079349	2.661426
1.269448	5.515308	0.923005	0.207223	9.247668	9.178984	0.377778	0.018855	1.736131	0.055671	3.848799	0.048973	4.568293	3.80196	4.724821	6.373461
3.302322	3.570536	5.897219	4.00197	14.51781	10.807745	12.258274	0.725022	2.358158	3.446938	1.170558	0.146123	1.221949	26.005949	1.589204	5.130652
3.537265	2.441274	0.716531	1.467754	1.919235	6.74499	8.152417	0.706066	2.956005	2.815921	2.036231	1.051533	0.839572	6.106855	3.979562	2.690754
7.58716	6.140505	5.300582	4.01997	6.841001	2.421698	5.860345	3.98343	7.143541	7.122201	0.776905	2.431821	1.135443	4.967356	1.950834	0.288562
1.055334	3.294819	0.290344	0.743599	5.531904	8.942073	5.030455	11.185038	7.562653	8.237395	1.794004	8.37202	3.315321	8.106712	4.561717	8.404445
6.301804	1.499863	0.720807	4.190874	4.713153	4.309856	0.294682	1.05142	3.22274	2.228708	7.772185	9.484378	1.305303	3.518128	3.52842	2.43962
3.470751	4.646897	6.289333	1.956144	1.360338	0.294603	1.962987	0.250404	1.464379	3.689173	3.77259	1.471547	1.69058	0.385557	2.074053	0.033934
6.332468	4.951822	6.577222	13.543132	21.578496	2.65507	0.237578	7.973757	15.543519	9.732985	0.759866	4.310218	4.931607	7.33201	3.687339	6.099096
4.867338	2.18926	10.409475	7.911166	5.418865	1.967228	0.01605	4.190428	6.249787	16.037891	3.525874	13.518179	14.096314	1.758508	12.39579	4.315169
