SomMotB-ContA	SomMotB-ContB	SomMotB-ContC	SomMotB-DefaultA	SomMotB-DefaultB	SomMotB-DefaultC	SomMotB-DorsAttnA	SomMotB-DorsAttnB	SomMotB-LimbicA	SomMotB-LimbicB	SomMotB-SalVentAttnA	SomMotB-SalVentAttnB	SomMotB-SomMotA	SomMotB-TempPar	SomMotB-VisCent	SomMotB-VisPeri
0.359931	0.876968	3.179753	0.751233	0.001735	2.976813	0.006252	5.102986	0.085405	0.674852	0.66026	3.747079	3.53216	1.171616	2.894926	1.083046
0.258898	6.381039	4.039523	7.685233	5.237239	2.131979	0.147959	0.296851	2.052085	1.5281	0.535104	4.4624	0.120763	0.297473	4.023918	0.115797
8.771402	6.730291	7.235891	8.335663	10.997541	3.791445	0.791286	0.742423	5.610961	0.491689	3.081503	1.155277	0.085911	0.83151	1.479629	1.405529
2.142954	1.136155	0.559875	0.919578	1.079935	1.620973	3.006579	0.883072	1.126577	2.441223	2.629234	0.258276	0.061381	2.315785	3.476117	0.16074
0.497935	2.77541	4.777948	2.383391	0.004559	6.391895	7.58245	7.214779	1.176426	1.101745	10.841464	0.34696	3.015175	0.308854	4.599471	1.341839
1.185937	7.010968	1.623798	0.548983	0.522911	0.477197	1.799457	4.96547	4.183696	1.118874	3.0487	0.407886	0.168087	1.302611	0.799909	2.099877
3.569326	3.970596	3.389334	3.278298	5.013157	9.52918	0.525985	1.133279	7.015159	12.587188	1.154644	7.32981	2.508647	13.589757	4.783969	3.219768
0.182813	5.049706	0.587666	1.381726	0.849999	4.820536	0.021456	0.533583	0.065287	0.686897	10.62885	0.852228	0.877773	6.07833	1.119825	1.200144
0.075755	0.783769	2.392442	0.742083	3.456918	0.539486	1.494277	4.916365	0.857668	0.147087	0.016193	0.367227	2.375828	0.116193	0.68381	0.410817
12.285589	6.258228	14.419847	4.944428	3.914106	0.014853	1.779188	2.32794	6.685143	1.252071	3.784326	1.461854	0.035124	3.329581	0.202047	1.406157
4.222507	2.893396	1.229615	3.385023	2.210049	1.585224	1.123759	2.886108	5.330046	6.526303	0.832068	3.487196	3.483856	0.841822	3.708193	4.807823
0.029332	2.510541	7.581122	4.170463	3.849072	4.298488	0.31891	4.921066	4.325973	4.760218	2.626293	3.172633	0.388705	3.073659	0.053192	1.75046
6.607776	4.96973	1.548231	3.488321	8.202857	2.737697	1.689123	6.796514	6.38268	11.784221	3.128267	6.968927	2.682906	3.102903	5.936869	0.247307
1.522274	1.419931	4.503179	3.217322	2.027577	2.316247	2.054285	11.906309	1.384124	5.848489	1.185526	3.182539	4.701871	1.082277	2.965645	0.476553
0.033598	0.460402	3.967114	6.282552	6.326573	16.076221	0.040649	3.348305	1.242602	5.679443	1.011259	6.197046	3.105992	1.940619	0.220394	1.523334
1.138034	1.473437	0.549258	0.171642	1.20591	1.235693	0.073359	0.729647	6.447694	0.976369	2.363023	1.153096	1.031144	0.792614	1.768805	2.878155
2.443195	1.044798	2.957398	8.272262	5.012297	2.322559	2.360739	2.17794	2.173342	11.319766	0.992588	10.840266	3.900013	5.958121	9.129671	1.009101
3.83224	4.207422	0.064764	1.315715	0.53462	3.638463	2.394907	3.218012	1.855795	1.477128	16.439309	0.507557	3.275174	8.839789	3.847452	3.775658
2.143214	1.082311	0.121465	2.425588	4.701818	0.215223	0.698775	2.537685	6.191464	5.073494	0.058938	2.758826	0.600722	1.797732	1.871776	0.136575
0.038403	0.06931	0.168636	7.058972	8.748678	4.107516	7.388079	0.759043	1.597053	0.647211	2.346529	0.028539	2.512007	1.582657	5.654511	2.830621
0.765834	1.616632	1.631521	5.404561	3.514471	2.685579	0.26608	1.016827	1.627296	6.599218	2.030345	8.691555	3.449559	3.04139	12.280042	0.1501
1.528215	2.4421	8.420158	1.209756	4.954982	0.959731	1.91157	4.114647	1.096618	9.044829	0.857291	10.461914	1.214412	0.325384	1.046421	0.012211
1.903469	6.349075	1.043586	4.36156	4.599837	3.890757	1.391059	3.063861	2.872125	0.972967	0.090134	0.459795	0.175077	2.686926	4.555823	1.216438
1.900746	3.048952	0.846316	1.02337	2.774046	1.03123	2.365479	1.605236	2.450093	4.248517	0.034123	0.897434	1.655385	0.434908	0.366885	0.364031
6.717718	8.331395	6.676238	0.141264	2.877097	2.460644	0.832242	0.247941	2.648749	6.056982	2.769037	7.220154	7.163727	14.217722	0.577389	0.600654
1.372753	1.61865	0.136179	4.928242	4.369743	1.261725	12.021315	0.12671	1.090769	0.837595	0.903545	0.241696	2.350531	2.355966	0.836579	0.767277
7.908819	9.998379	7.628213	8.858898	8.681127	4.680927	1.665164	3.49688	3.923435	3.874276	0.285181	6.643489	6.165613	5.560959	3.376231	5.693293
1.598461	5.416349	3.378008	5.054618	8.451351	6.983258	4.920775	0.3492	0.939933	1.692745	3.771386	0.054234	4.064016	2.675155	1.523851	1.905626
0.537257	0.55816	5.791677	7.427856	2.424936	0.624937	1.065687	1.724968	3.370381	7.103593	3.34338	3.153155	1.086013	3.966269	2.253419	1.664953
