DefaultB-ContA	DefaultB-ContB	DefaultB-ContC	DefaultB-DefaultA	DefaultB-DefaultC	DefaultB-DorsAttnA	DefaultB-DorsAttnB	DefaultB-LimbicA	DefaultB-LimbicB	DefaultB-SalVentAttnA	DefaultB-SalVentAttnB	DefaultB-SomMotA	DefaultB-SomMotB	DefaultB-TempPar	DefaultB-VisCent	DefaultB-VisPeri
0.232551	0.620355	3.863557	4.418207	0.37988	8.151579	4.974669	0.38897	6.690452	6.380751	5.6306	4.578271	1.441129	1.726736	0.187912	0.357668
1.796673	9.620727	0.159503	1.791365	8.251711	2.01654	0.145058	0.864766	3.060776	3.268931	0.306759	4.108356	3.793764	1.944657	0.873077	4.46334
1.202375	2.821975	5.485759	1.666658	2.539097	4.56809	4.923002	7.416356	10.57213	0.833597	5.504679	2.432515	4.445236	4.068959	0.131289	2.273836
0.699024	1.902382	4.495434	2.591726	1.994359	11.844363	10.604681	0.251312	5.765253	6.179706	0.850581	1.061934	4.001527	4.738661	1.683111	1.046405
0.656786	0.561799	4.992371	5.678616	1.841048	0.252705	1.006687	0.041627	2.112138	3.218566	0.260752	1.24598	0.730904	0.301586	0.877778	0.352617
0.410193	3.234146	5.539566	3.406186	1.68563	2.894273	1.149529	2.529635	0.920881	8.658525	0.808172	1.463061	1.027477	0.165674	1.323269	4.604037
9.083175	11.165196	10.10887	8.854389	14.219928	6.03985	0.653971	11.335883	20.843088	1.846914	6.557139	12.813619	6.347131	18.892949	1.240549	4.977648
0.232994	1.591019	12.238475	7.165763	6.214867	4.483287	0.264079	1.222957	8.867946	1.65038	0.766169	3.555976	3.130782	2.607852	7.597829	2.600692
0.371117	0.339828	0.711551	0.335778	5.192691	0.368688	1.87817	2.040143	3.683075	2.390223	2.044866	0.226679	0.791064	0.806436	3.016804	1.792538
1.221004	0.454529	6.396464	11.093656	2.267206	5.158664	0.660817	0.62503	1.289011	1.045739	1.351098	0.317441	2.295556	3.183434	0.804503	0.330788
0.36183	1.478246	1.764726	3.570693	5.607691	5.129041	2.613735	0.564026	2.297665	0.451785	1.169375	0.733476	0.373647	1.713882	0.457236	0.14621
0.350277	6.956376	5.838946	3.572505	12.437013	4.20677	0.118964	0.43485	2.788596	0.176935	2.523899	1.235822	3.163865	5.518996	0.691905	3.609799
2.340926	1.107366	3.746793	5.148645	3.900937	1.760508	0.309243	6.144039	5.928302	0.648123	2.96039	2.68698	1.563237	3.036341	1.460789	1.896956
1.752738	2.329736	13.731101	3.836168	4.680862	3.690327	2.251652	0.299525	2.496014	1.457689	2.033967	0.161678	2.103696	3.934739	2.064575	1.432782
1.98322	7.808295	7.774857	13.149638	10.882632	7.978995	0.972785	1.408753	10.253962	0.4678	1.526068	5.478747	2.209199	1.148906	0.05458	0.36357
