DefaultB-ContA	DefaultB-ContB	DefaultB-ContC	DefaultB-DefaultA	DefaultB-DefaultC	DefaultB-DorsAttnA	DefaultB-DorsAttnB	DefaultB-LimbicA	DefaultB-LimbicB	DefaultB-SalVentAttnA	DefaultB-SalVentAttnB	DefaultB-SomMotA	DefaultB-SomMotB	DefaultB-TempPar	DefaultB-VisCent	DefaultB-VisPeri
1.975737	2.166641	15.183598	21.182381	0.037759	2.591068	1.818663	5.575802	5.837121	2.285621	1.206995	6.002414	7.959065	0.892371	0.621612	1.673299
1.168186	0.733013	1.664653	0.137659	3.825426	1.750588	0.218202	2.386422	8.066477	3.271896	5.152887	5.954282	1.616373	2.612416	1.312615	0.995067
4.167734	0.63968	7.284111	26.527884	10.290025	14.039867	2.026486	1.584079	16.831814	2.529018	6.361433	2.258743	4.246276	8.146204	1.554556	0.809188
1.082391	0.077122	4.622618	11.414443	1.231318	1.219269	0.127747	1.830041	11.59786	1.411407	1.396164	0.602577	0.099664	0.822949	0.903709	1.139443
0.067198	13.492661	12.601544	4.388268	7.560405	1.008829	0.566823	0.467086	4.34447	1.502453	1.567073	0.264248	3.996912	0.116105	0.556166	0.025973
0.553781	0.33981	3.847384	2.021034	1.104556	8.786963	1.469959	0.571546	4.013193	2.669988	1.640528	1.009287	2.801669	0.087299	1.198541	1.609089
10.755044	13.958403	11.567595	9.061785	13.68259	4.498811	6.607001	7.610731	7.101719	2.990307	0.93092	5.554572	3.064965	0.035694	1.829086	1.761958
2.975142	1.151151	2.603087	6.690466	6.006614	1.538168	0.732654	2.003982	0.694626	1.157066	0.147747	0.181512	0.132115	7.822775	2.473158	0.894153
0.733659	12.772746	0.156313	3.645847	0.398765	0.800782	5.422095	0.602079	2.23716	1.468627	0.935872	4.993433	0.599778	9.808754	0.310857	5.486178
0.090917	0.25513	0.191643	6.141233	6.09133	3.196265	0.083261	1.912911	4.418026	1.114339	1.722355	1.708224	1.466192	3.368056	2.914258	1.646691
3.239084	2.511852	8.617533	3.653379	11.93666	15.684287	4.353963	3.274711	9.725038	1.679405	8.499889	6.731024	0.154132	1.511375	4.36361	0.884594
0.305308	3.719839	2.34869	1.698827	5.899721	0.51512	2.092541	1.890919	2.669296	1.21048	2.232233	1.366519	3.908565	1.462027	4.487156	0.392814
2.259917	0.789954	1.359027	5.841166	18.592406	4.519611	3.656496	0.757826	2.183131	1.734036	0.359098	0.126654	0.960025	0.581842	1.592788	0.660242
2.300878	2.388054	0.441945	0.639338	16.776878	16.233591	1.45012	2.440531	2.120646	1.784	4.277934	6.92273	0.108083	2.957101	2.862874	4.829269
7.163417	7.713608	10.843081	19.454129	9.942799	6.508307	4.489765	14.168301	5.825103	7.078881	1.773086	5.555436	5.233489	0.257771	5.389208	0.529282
1.547846	1.617744	1.677001	0.272103	2.47697	6.761594	0.93341	2.190705	4.042486	4.599169	0.633205	7.957973	9.057183	1.27212	0.403596	3.38213
0.800562	1.171424	5.171957	7.039163	7.18258	7.001804	0.753928	0.05723	2.029866	15.062681	2.228933	0.289522	0.304148	11.905247	2.290326	4.140045
2.70172	1.954338	4.057375	4.828289	1.691922	0.04341	0.166365	0.749487	2.511646	0.088822	1.215496	5.570488	1.363495	2.439821	0.362578	0.277446
2.32888	1.962467	2.209972	2.285208	9.403826	4.620988	0.308958	5.785717	9.823696	2.063096	4.386506	1.571114	2.468437	0.436404	1.849059	0.827892
1.362236	4.082462	7.760056	5.060535	1.816019	3.795747	3.785379	2.053063	10.753588	0.112114	2.704971	3.523867	0.158297	6.701868	1.588822	2.576046
0.767437	0.549044	13.705549	10.637039	2.226505	10.671652	7.553472	0.0661	10.595167	2.864581	1.204851	0.802863	3.415888	2.275857	3.674887	0.225259
4.877453	0.21563	11.789348	10.132749	5.292816	0.566253	0.845294	5.159486	8.707533	1.368831	6.876547	0.18519	2.584425	2.483284	0.306107	0.870458
1.899154	2.812199	2.134138	3.179084	12.483603	5.979704	0.235499	2.139924	6.981669	2.129065	1.073052	5.820232	1.152136	7.317563	2.971288	3.46178
1.928569	7.787285	12.84582	20.944437	22.081233	5.764082	3.242996	2.170749	1.746819	0.256845	1.900174	1.076315	5.334082	5.5639	1.601869	0.066697
6.195278	8.400284	22.923187	5.852178	10.014718	8.9806	1.599855	7.120543	16.815303	10.842002	2.639738	6.944757	9.307444	12.052604	0.286338	2.505064
5.293557	6.007081	12.703689	18.051329	6.441699	3.679029	0.447648	2.487681	4.853401	4.697263	4.027772	5.221017	4.688666	1.543232	0.369532	7.260715
5.233368	1.400546	10.108814	4.999423	1.507132	1.86608	2.058991	2.008348	0.021609	0.090082	0.876218	2.206107	0.553041	1.191519	8.308801	2.780327
1.359531	1.797142	5.433202	9.710434	4.381	2.298996	1.027854	0.395003	5.695104	1.52255	6.230092	1.480546	0.5937	1.688119	2.014965	0.138452
4.3065	0.219402	1.654304	0.597514	0.19986	2.805916	1.341031	6.164984	0.384727	1.292049	2.125324	1.226136	0.575227	0.606908	2.645759	0.216381
3.662388	0.42311	1.465295	2.17098	5.355707	5.380274	4.986619	9.0694	17.359413	1.133098	7.554203	2.927248	11.87808	4.291508	1.4754	1.171846
1.189108	1.643397	11.017587	3.868342	0.812129	15.683947	0.293707	1.1922	11.115211	4.408778	2.529768	4.923253	0.498164	1.659438	5.818015	3.799035
0.54201	7.510398	2.097545	7.770977	3.63372	6.467427	3.311142	0.315442	1.738189	8.3199	2.053606	12.575317	3.552227	9.988559	3.117668	4.2859
1.261166	4.720899	6.033923	3.085004	5.315103	0.564681	1.08897	4.542266	9.440034	3.074375	3.996529	3.170418	2.547155	5.675776	5.623035	0.550712
1.882052	3.314871	4.179497	5.983757	16.82005	1.299116	0.033075	3.773502	6.137562	1.233505	0.881396	6.230117	0.910714	2.492338	0.281695	0.333695
0.071871	3.1967	3.233089	2.983484	1.665931	1.849359	0.279906	0.295491	10.71506	3.450952	3.170134	6.808614	6.223672	3.491614	3.426651	0.510688
4.599552	7.318888	4.099839	0.591561	8.30651	0.226036	1.110393	0.590279	0.774537	6.646514	1.179645	9.383283	7.937167	6.684609	1.218613	1.536497
0.078526	4.200207	5.242149	1.221513	2.954172	3.746176	1.807105	0.222996	0.783283	1.462005	0.076016	1.02062	1.912591	0.340592	0.656438	0.045739
9.79656	3.890756	1.717364	5.005982	3.399796	2.094572	1.339241	5.29182	4.243915	0.999521	1.860378	4.002208	0.802758	12.075859	1.04598	1.538445
0.256542	0.330672	0.991563	2.186824	1.394927	3.842978	2.780514	1.122874	17.750185	8.698021	5.486943	8.908571	0.936069	12.43644	0.642112	4.246684
7.098159	7.905637	0.892473	1.13516	4.288771	3.041159	1.796247	4.307247	5.861216	0.844066	1.034923	12.303306	6.593913	17.047225	1.553054	10.140063
5.618605	1.930629	0.747992	4.098421	3.473851	3.993576	0.014225	5.229353	0.307984	0.256064	0.7607	0.384581	1.146252	1.669897	1.462673	0.166711
4.029272	7.906465	12.246796	20.222682	9.810681	4.215373	0.014169	10.657673	2.968175	6.16539	4.488278	5.268327	0.990648	0.839154	0.723452	0.940386
5.190375	11.817358	10.216518	15.3276	3.191081	6.755963	3.216554	11.672453	7.644696	3.328558	0.724245	1.456516	0.267187	2.517916	13.180529	6.470161
10.576186	10.359383	27.093848	19.548706	10.302671	12.761133	1.377853	2.782071	12.524977	0.818322	7.631631	0.9224	14.482068	2.338973	3.125011	0.420887
0.598107	1.46892	12.3217	10.921297	0.002498	3.897391	0.40702	0.043912	1.66126	1.359795	4.821547	2.733429	3.784277	0.146526	0.699571	0.455649
4.220828	1.913926	12.652206	5.099111	8.715238	4.117897	1.04765	0.394204	7.749223	0.106839	8.747029	4.701008	4.822075	1.993715	1.246512	1.987587
0.238066	2.414973	1.286378	1.54189	1.837525	0.751945	3.946698	0.127494	1.795075	0.008939	1.009191	1.140929	1.036688	2.172274	0.806844	0.276205
0.634167	1.477874	2.004015	2.355624	1.618154	4.366505	8.927509	0.584747	8.799001	1.656502	1.704354	11.678717	1.408193	14.904369	6.148113	9.188676
3.311028	2.225296	2.616733	0.038465	0.922512	1.835833	0.327413	3.003052	0.948791	2.743955	0.226715	2.167138	1.97133	2.332916	0.810278	3.69247
0.328959	2.770575	4.145139	1.886699	8.155052	1.588214	0.1989	0.035574	1.816503	0.074243	0.504073	1.718928	8.517038	11.652552	0.552824	2.642562
3.300265	2.456452	0.391885	4.343333	2.987583	6.76732	1.622152	1.003725	2.508487	0.998956	0.36407	5.126789	4.225352	11.497051	2.961771	3.891104
2.063631	0.466562	1.040049	1.408703	4.730833	9.557791	3.434432	2.519962	5.722858	0.93701	5.429637	3.822653	1.233487	1.884997	2.215092	3.412011
2.23328	0.624964	5.009015	4.533772	0.727727	5.95238	2.527298	3.504352	2.378997	4.024542	1.160455	5.506491	1.548571	2.356526	5.711319	8.677047
1.851075	7.806002	2.905434	3.683838	15.584069	1.389779	0.662001	0.296006	1.875616	2.862057	0.281951	7.028127	1.352396	2.157597	2.787414	5.454418
0.988171	8.22004	4.47094	7.464602	3.320951	1.935404	0.896745	4.504718	7.023801	3.573762	4.823333	6.755638	4.652247	18.73367	0.043303	4.784962
1.820855	2.303245	4.45701	0.294739	0.879402	7.734761	0.126264	0.33675	8.138826	1.796795	2.74421	1.237821	0.857684	1.369877	1.544342	0.827157
1.319104	1.006084	4.216412	2.705677	3.919078	6.189248	3.784912	1.686477	3.099893	2.46204	2.244234	1.799661	0.569879	3.608212	0.466936	0.276986
0.449664	1.42773	2.869332	4.060702	0.201758	3.187433	1.789482	0.464852	4.229587	2.866658	1.842703	0.930955	0.228802	0.373079	3.700535	2.493533
7.729936	7.34884	21.426662	18.664573	11.143974	4.273061	1.285307	14.245154	16.55269	3.989767	10.902355	4.344378	2.37837	5.826558	4.168973	0.505717
2.8403	8.975691	2.900193	7.501557	8.113007	3.599106	5.785306	3.529993	6.79039	1.419317	4.057917	7.907787	2.941125	3.910038	0.229467	6.461083
1.473223	1.471544	0.090559	1.580919	5.998062	0.159852	2.947206	1.881195	1.765462	2.737884	1.131579	1.293407	1.12144	1.502675	1.178739	1.386727
1.377053	3.946915	7.514064	4.87593	0.513677	13.098282	1.656178	2.5556	7.79686	0.870327	1.542314	4.372343	0.78118	1.894545	3.970553	2.273521
0.159007	1.214799	0.035828	4.293804	3.273171	1.967261	0.591047	0.133149	5.501917	3.879419	0.036442	0.295428	2.015376	2.658877	1.06638	0.078136
0.815974	1.669915	7.528123	6.138448	14.21209	3.898461	0.441977	1.07457	6.499069	0.28197	0.219822	2.62143	3.947483	12.048571	0.008162	0.325259
