ContA-ContB	ContA-ContC	ContA-DefaultA	ContA-DefaultB	ContA-DefaultC	ContA-DorsAttnA	ContA-DorsAttnB	ContA-LimbicA	ContA-LimbicB	ContA-SalVentAttnA	ContA-SalVentAttnB	ContA-SomMotA	ContA-SomMotB	ContA-TempPar	ContA-VisCent	ContA-VisPeri
1.823587	2.983619	9.429313	8.506724	0.150552	1.187067	2.821497	25.975051	14.249897	2.823906	3.590271	1.654867	1.238585	0.571333	0.688676	0.592604
5.197381	0.139086	3.525399	6.809287	1.030048	1.912403	1.200669	23.737926	18.833227	0.315301	11.973843	2.648404	4.119873	1.764629	0.338521	2.17776
12.62909	2.226369	0.147817	0.416385	6.48163	1.44085	4.068767	10.389382	6.044382	1.218621	4.784513	0.807639	0.022422	2.570524	2.986637	3.278122
0.03067	1.570259	0.182326	10.908935	12.150851	0.10012	0.507679	18.462222	9.309297	1.76831	4.230537	3.600417	15.272911	7.870956	11.18503	3.04285
6.502616	2.682044	9.833925	4.328391	1.603418	3.196781	4.323248	23.965889	5.744846	3.234376	6.238115	3.18711	5.803611	1.534147	4.986431	4.327536
1.449703	1.762572	0.735135	4.164261	6.757621	0.885833	1.746521	20.872109	0.740219	5.529037	1.796211	2.079141	1.888973	11.678967	0.01332	3.294458
19.872152	4.66813	3.630994	6.857048	13.012016	4.758846	1.088978	27.925139	16.51144	0.092234	10.94804	13.229419	2.747585	10.473846	1.162055	7.707993
1.14168	14.707053	5.965491	0.916425	0.448367	3.551708	1.151301	24.559759	10.628581	0.368008	1.838613	0.664212	2.465898	2.559142	5.543495	2.16553
16.550479	2.0365	2.50797	7.838529	5.1831	0.772437	1.253371	18.862528	17.41106	0.177081	9.569399	12.492358	1.295962	1.379256	0.636292	3.510175
2.391769	7.191077	10.632027	3.725939	7.819156	0.50684	0.855297	41.171934	8.268529	1.010373	4.894149	0.679694	0.327732	1.079983	2.002009	1.181894
12.570547	1.188828	4.831141	2.690136	1.515358	0.282244	2.577858	38.415862	10.699023	0.028171	7.729365	4.511395	0.844601	0.365777	0.859968	3.575588
1.765298	0.472889	1.132738	0.86724	2.6136	1.325596	2.313219	8.30048	2.405557	1.273607	1.090854	9.639866	1.115341	3.062145	3.559832	6.260079
8.367847	1.146452	1.788192	4.49706	1.200194	1.532983	3.480171	32.985397	11.614518	1.321702	7.531919	9.090242	5.760506	0.14005	11.899895	8.292213
2.358762	15.443681	7.584257	0.791162	1.558368	3.797397	2.30018	33.643749	17.499072	3.084604	6.30702	13.054365	5.652402	8.109414	2.107168	2.462925
7.48694	1.858318	0.622412	2.786387	0.356771	0.433247	0.221168	14.185302	8.067041	0.344444	0.590258	2.650324	1.964052	5.034488	0.904778	0.701837
7.474856	6.405986	0.666527	3.603794	13.729752	0.693389	0.693077	13.018095	0.351844	4.616799	1.494819	4.068997	1.504674	9.006627	19.278447	4.340677
0.488304	7.053784	11.930732	0.114938	0.030921	6.001847	0.795365	5.726843	4.360988	0.284513	1.964981	0.207658	0.968514	1.685029	2.702511	0.816592
3.867894	1.087953	1.973252	3.033194	0.727197	1.896586	3.001274	12.818039	0.896918	0.088569	3.401669	0.635108	0.155871	1.15386	1.292542	0.99145
6.173377	6.376001	1.095046	0.017494	0.636787	1.458312	0.637683	34.31757	5.157181	1.263124	7.024963	1.246425	10.404166	5.748894	0.161872	1.700684
1.495844	0.054726	0.317093	0.007323	3.645858	0.634066	0.452086	14.076096	6.980877	0.456897	2.607153	4.422758	0.38858	0.308355	0.061887	1.476641
2.692966	4.412378	6.745077	3.002155	1.03066	4.734951	5.433024	28.303372	29.009565	0.603028	18.450784	8.151824	4.252474	5.022518	1.853818	1.021377
11.473384	3.516468	7.146273	5.043957	1.815046	8.664336	5.838318	37.565908	16.631177	1.002786	12.569211	16.43729	3.739012	3.811865	0.929892	11.231681
4.829441	1.271616	0.717634	3.830051	0.542069	1.160976	2.021183	22.18065	6.655089	1.017008	3.490373	10.151637	1.709987	2.014207	0.521103	1.194855
10.525585	3.393016	0.905556	10.347791	2.276908	0.560383	2.046116	14.748808	10.875928	0.75601	3.101028	1.016672	1.260602	0.85599	3.186594	0.714831
27.954537	24.497928	14.033536	10.348569	0.030078	1.410916	2.519124	25.760687	3.638276	1.719793	4.861675	6.347502	10.595618	3.297054	2.29485	1.246443
15.4016	0.072856	0.652505	3.546725	2.874355	0.734139	1.868341	8.13191	9.113891	1.941075	6.470209	9.502607	0.094098	1.545415	0.634406	3.259596
17.840797	0.488562	0.502842	3.394003	0.988188	6.279561	5.644884	21.142936	0.338134	0.181888	0.066917	7.327238	0.921435	3.285389	6.180333	22.000267
16.395976	10.018079	5.626475	6.019602	1.47021	1.068522	0.906268	30.631216	16.429781	0.878581	3.620687	1.975245	1.288635	1.682875	1.532559	1.829839
2.020228	1.653567	1.168642	0.232868	0.697042	3.993582	2.401937	17.841454	5.101919	13.143591	1.169139	7.442955	1.884588	0.39938	1.869764	2.639703
3.248684	0.470545	1.084205	3.594303	2.29547	0.346032	0.662189	4.984156	8.646597	2.231766	4.77412	4.66923	2.119781	3.916694	5.39469	4.543301
16.892875	8.654549	13.740677	10.413478	0.943131	3.708227	3.099638	40.993019	14.521998	0.747507	9.587863	6.26358	4.42555	10.24215	1.848572	0.134203
4.118025	0.255047	14.763749	9.020124	1.786178	0.469039	1.320835	18.507437	1.850962	14.391213	3.233902	0.879003	2.667192	0.051183	1.877266	3.46956
9.129876	9.614622	8.058527	17.290378	9.902673	4.138052	0.578842	30.865792	23.373899	2.336583	10.093619	10.910861	0.365257	1.663521	2.960983	11.225217
10.567747	5.597952	3.38023	9.345736	16.830454	5.845651	8.365598	13.900655	3.031642	2.68367	6.348705	1.942026	7.095718	1.887078	0.376433	1.12703
0.688186	2.66273	2.788941	7.628884	3.868426	0.388832	1.70651	12.136948	3.019195	0.155337	0.657305	4.862511	1.634013	8.375651	0.41259	6.136467
17.72689	3.925976	4.692246	8.398871	3.911536	5.288124	2.757	26.938157	13.28841	1.04538	7.614796	6.876005	2.213596	3.480791	12.025051	12.284933
15.337726	1.444842	1.769058	4.779026	1.250788	2.490134	3.549891	12.660154	9.434575	0.255039	1.722761	6.054109	2.586788	1.998111	4.127142	1.875603
6.180921	1.239029	0.172491	0.168714	2.531549	0.639967	2.732715	23.890075	2.697708	0.193557	3.720493	0.498707	2.978886	0.817207	1.276399	2.56914
3.861415	0.717037	0.494322	2.825185	3.020678	0.259471	0.024195	0.864078	2.452511	1.206968	1.184085	2.278575	0.794543	4.059601	2.113225	4.865289
0.663653	1.148351	1.848434	0.949117	0.390607	0.912795	1.65383	22.612575	11.552185	0.479954	4.57714	1.453039	1.661816	0.317064	1.889969	0.43298
7.238478	5.245617	0.716193	3.798818	2.695009	0.696719	3.518426	23.970844	9.519416	0.095856	2.354844	7.585334	2.480972	1.541129	0.807565	1.506939
4.19454	6.380878	14.638428	1.337188	0.30377	11.55454	6.897725	28.282233	19.08246	2.147906	15.40855	4.621648	3.265228	0.53104	1.566191	6.384505
11.712634	4.054558	2.647263	1.907002	2.548714	1.796988	3.366437	13.63995	2.957451	0.295758	0.82	5.16534	1.898633	1.660698	0.443336	7.086523
10.734822	5.157001	5.464911	2.568673	2.115944	1.478939	0.856432	21.51761	13.100013	3.487525	4.679368	8.626072	1.961235	0.122179	0.730323	7.068562
4.78897	3.064856	1.252639	1.35616	11.890497	4.046705	4.505944	6.334765	2.76898	0.148195	0.240245	3.043638	1.620081	4.406834	0.522252	1.606404
3.531192	0.107283	6.223703	1.96126	8.779168	4.274536	4.773984	9.20583	7.643799	0.085156	0.934477	27.796413	1.813181	2.115013	0.848508	4.697175
6.947522	3.860938	0.046684	7.709767	5.484614	3.606525	2.312629	10.329237	4.541778	1.467093	2.402386	8.712038	2.853075	0.476936	0.028685	0.598124
2.486376	5.491116	14.66519	20.34579	5.819007	2.605378	0.054566	36.132664	15.747759	2.471986	9.147056	5.773338	5.274867	4.641498	0.030622	5.999777
