ContC-ContA	ContC-ContB	ContC-DefaultA	ContC-DefaultB	ContC-DefaultC	ContC-DorsAttnA	ContC-DorsAttnB	ContC-LimbicA	ContC-LimbicB	ContC-SalVentAttnA	ContC-SalVentAttnB	ContC-SomMotA	ContC-SomMotB	ContC-TempPar	ContC-VisCent	ContC-VisPeri
1.737953	0.663686	0.938274	0.025618	0.513258	8.982904	3.571624	0.481818	7.697033	2.042699	4.395577	2.863113	0.387276	0.191758	0.341356	1.209074
1.191607	0.247523	2.20878	1.714343	0.097251	1.95446	0.509675	1.035325	2.396253	0.718766	0.310942	0.239025	0.181741	0.290738	0.028583	1.048392
2.308224	19.561158	8.83495	20.720124	2.872725	2.974025	1.107803	3.51295	13.433754	1.85439	2.78414	1.131943	7.619878	3.234873	0.906331	2.58751
0.918425	0.327842	0.260524	1.001059	0.757642	1.280671	0.088006	2.182725	5.732714	0.270756	0.47968	0.98256	1.141259	0.475939	1.808361	4.537723
6.632745	6.555545	15.485182	14.774458	5.457545	1.176643	5.688825	7.506145	15.076274	1.135286	5.075995	3.805596	3.934248	0.953096	2.805429	1.57308
1.036772	1.152798	12.459864	3.082964	1.322193	1.668514	0.169712	7.353539	2.25815	0.51726	2.984421	0.464495	0.182671	0.728068	1.220582	0.348794
1.123059	4.262705	6.053863	0.856495	0.216693	0.61956	0.200507	0.802757	1.289067	1.112061	0.972527	4.250528	6.066616	0.907819	0.313261	1.311226
3.825684	1.87119	13.787205	1.536364	1.066867	2.19592	0.273136	3.144015	8.8938	0.806293	1.547287	1.356333	1.442837	0.338949	0.703211	0.639598
1.699203	3.705982	12.619343	12.881089	5.248156	23.063835	0.656202	3.199722	5.234659	0.241524	2.831844	4.48599	2.190402	1.314166	0.205826	3.338198
4.17375	0.248325	8.177545	11.553083	1.455056	6.654571	3.814497	8.355647	16.390096	6.491498	4.644118	9.679011	2.480604	1.306309	0.61009	4.644485
1.449947	1.38394	1.67381	0.50991	0.085492	2.120564	0.116418	1.273212	0.731102	2.78019	0.346811	3.127105	0.808294	1.128925	0.987966	0.641569
3.857951	1.542488	9.625451	3.970821	1.644406	0.36774	0.095692	10.924851	5.419044	1.038929	1.861475	1.688099	1.186524	0.374506	4.180965	0.979587
3.630202	5.484253	14.325536	4.628072	4.926702	5.40956	2.619036	3.964797	8.088634	3.999945	2.950003	7.076927	4.007528	1.132491	1.028506	2.620821
12.297733	8.355752	8.890447	6.708436	0.280014	4.42138	3.559534	16.984772	8.233402	0.782419	7.911521	4.372856	0.65885	6.810267	0.326115	5.417233
0.338606	0.08288	11.045181	1.733207	2.634288	5.350399	0.638057	1.818421	8.98718	4.385439	1.348611	1.319787	1.663155	3.995592	1.823821	0.32911
1.031569	0.892058	7.23969	4.224367	0.22967	0.480397	0.208753	1.958391	0.403577	0.951741	1.002953	0.511082	0.17242	0.231927	1.391365	0.278199
1.384141	0.487677	8.583616	0.670591	1.435098	4.562482	1.186646	1.517253	0.116424	1.630547	0.917968	1.032573	11.326902	0.166718	0.177157	1.058639
1.422436	6.258727	2.782691	0.851942	1.769921	3.607678	1.119909	4.634247	3.701358	0.972245	1.907463	0.810681	0.700471	1.368061	3.006805	3.412516
0.676389	1.374858	5.361523	7.801528	1.691402	6.667216	4.686028	0.341972	12.226961	0.112315	1.356942	0.513587	9.080806	0.57847	1.050948	1.707381
4.543668	1.833543	7.083345	0.93509	0.157339	1.344094	2.079362	2.071007	10.981224	2.337359	5.691582	0.20986	0.08	5.815175	4.198431	4.078974
2.613491	5.542187	15.024446	6.126464	0.545714	0.147217	3.165216	2.663312	8.862385	1.844763	2.288207	6.203721	1.511889	0.375429	3.231998	5.617283
0.243257	1.188152	6.197363	0.985721	0.290524	0.387025	0.037841	2.253735	3.118281	1.258705	3.119883	0.59481	0.086794	0.200571	0.095885	1.023358
10.822952	6.912321	12.884839	11.471865	4.712115	2.258315	2.058196	10.730608	19.616764	7.216081	3.88951	7.540713	8.675279	0.122661	0.910387	1.016463
0.503007	0.044286	7.278348	2.693702	1.560902	0.645608	0.404918	1.111999	11.003776	0.870098	4.562436	8.204753	0.043959	3.209258	0.00421	4.629054
8.61252	3.650978	9.314722	5.038978	0.875195	1.280021	3.584931	4.571887	1.050483	0.182067	0.256806	6.119453	2.334589	2.787033	11.325544	2.090843
6.400445	1.173802	14.57896	1.9464	5.11194	3.522373	1.629778	2.129935	1.102253	6.71148	0.736189	0.455955	1.479381	11.049227	0.218529	0.474952
2.456585	0.071768	0.773814	0.728263	3.165131	0.257849	0.442095	0.107097	6.701096	3.622657	13.133767	0.853569	0.58061	5.232146	1.707942	0.016978
6.889284	2.857705	7.856306	0.191148	1.72133	3.165662	0.932621	6.894874	7.32436	0.062289	2.767559	0.377127	4.150079	3.275954	2.020681	0.111777
0.401525	2.209962	3.075554	2.524091	1.483754	1.317787	0.621349	3.763621	1.300934	2.164048	1.855798	9.705522	2.008269	1.33593	1.037144	4.845253
0.609261	0.431361	2.253845	0.766547	0.194558	2.367315	0.862087	6.935698	2.367265	0.110999	0.624242	0.528581	0.645184	0.739029	0.650156	1.192801
0.396345	0.849293	9.641102	4.159556	1.235408	0.01677	1.666813	7.844875	11.398707	6.127228	2.988422	0.344039	0.868131	0.152882	3.888392	1.74412
2.876291	4.223122	27.7076	17.120333	4.368773	3.767911	0.437068	4.641265	3.573333	0.010296	1.094188	3.910083	1.011114	5.64384	7.371847	1.865616
0.579562	1.723652	5.537435	0.5206	0.271373	0.662003	1.223549	0.275107	1.529633	0.468913	0.15812	1.132227	0.251781	1.055797	0.284841	1.680931
1.244684	0.095506	12.253003	5.170075	1.811608	3.127184	3.921507	2.739776	7.51398	0.337084	7.141568	1.386532	1.726075	1.703525	3.924408	2.485681
0.413477	4.144724	14.428535	9.079345	0.66784	0.778577	0.026168	5.741801	6.064282	0.198405	2.372481	2.856281	0.96645	0.011937	1.694667	7.423925
3.773174	2.122792	5.47831	2.066717	5.889081	0.686858	3.399762	9.042826	4.32088	2.310643	5.079936	2.022245	1.79175	4.877741	0.181102	1.011573
4.666752	3.114899	4.073639	8.533141	4.012945	3.593483	2.745964	8.124371	8.769989	4.003971	6.443626	5.848215	0.42949	8.886491	0.398059	4.661166
1.958924	0.678927	8.076555	0.633322	2.695833	3.836665	0.793333	4.210851	1.465979	2.280542	0.751645	3.964606	3.562217	0.966618	0.923745	1.375058
3.833398	0.325495	2.652489	0.515638	2.057407	8.431207	2.12788	1.492899	2.123837	0.452829	0.078128	0.572939	2.612895	0.678083	5.513868	0.257694
5.317012	17.20396	31.966341	23.832356	4.238132	3.202331	0.562758	12.587537	1.303491	14.438671	2.420004	2.419373	0.683131	0.310397	4.345142	2.594473
0.122905	1.03677	5.777018	1.981107	1.254794	0.112085	0.372765	3.90012	27.704493	0.859566	3.001107	2.340419	0.694144	4.068489	4.757522	3.124643
4.806577	9.236111	18.33847	21.687217	3.067999	1.647226	1.014288	4.474415	15.416174	0.256164	2.893177	0.357965	5.3767	1.324697	1.443284	0.426231
1.190862	0.878801	19.608156	6.405794	0.069704	1.451107	0.392599	2.048643	5.936285	5.023816	3.972434	0.407894	0.043764	0.156231	3.783732	1.103773
3.090159	4.078563	8.270401	2.729861	0.692647	3.771125	0.28234	3.743443	7.2243	2.174937	1.570172	2.323536	1.488741	1.164722	1.072741	3.017019
0.022217	0.655405	17.818159	1.518378	0.584669	0.438473	0.766019	0.748167	3.098297	0.60709	3.107649	1.584361	0.595345	0.305019	0.400031	4.674756
4.863562	2.67807	7.559376	1.497331	1.055813	1.033431	8.073954	0.23734	6.682464	0.870316	5.071907	9.370736	0.638386	17.241323	13.94318	5.711265
6.406947	1.345172	0.098263	8.630142	0.613092	0.264819	0.536535	8.199014	1.907833	0.103645	0.223682	0.988105	0.529535	0.323644	0.123867	0.574804
0.463954	2.891503	3.328798	1.942732	0.526388	0.011196	0.00881	0.345593	0.694368	0.167096	0.325908	2.499254	0.014573	0.135011	0.016687	0.279855
0.181212	0.396385	7.299557	0.488774	0.497596	2.108448	3.750138	0.424327	0.528831	0.718387	0.037614	1.181042	1.344673	2.99829	0.435258	1.900142
0.438663	0.864088	7.055176	1.903415	5.169252	1.810685	0.203947	1.898128	7.225041	5.355957	3.361065	0.755749	1.353849	3.894033	1.812006	5.233633
4.996066	1.167843	1.56289	5.304067	7.064671	1.564861	1.029952	1.661756	5.612653	1.017691	4.33141	0.786176	1.980874	3.316527	0.322935	0.379258
0.135498	1.9795	8.154837	2.062192	3.555929	0.628503	0.966303	2.399741	5.187211	1.302783	0.769107	1.559839	0.047952	0.881294	0.215748	4.741904
3.307656	0.287773	21.607387	4.123348	0.652789	3.893399	2.303618	2.288988	4.268409	3.653005	3.831593	7.748386	0.481729	1.410789	0.099115	4.632176
2.518517	2.529316	4.675671	2.24304	1.347632	2.719728	0.9375	3.095461	7.853038	3.969666	1.403875	2.195586	1.20934	2.17309	0.111681	0.953771
2.974412	0.623592	0.136453	8.683051	1.924861	4.07396	0.462161	1.422126	0.731611	0.912512	1.452608	0.346508	0.356304	3.143351	0.886115	0.394501
0.982943	2.018298	3.689356	1.362604	2.794837	1.539829	3.084676	0.566275	1.287758	3.140156	1.176725	0.623949	0.844998	2.762908	0.063544	2.881071
11.2675	28.825162	16.67941	19.354875	3.495919	8.47147	1.609137	30.616285	10.808495	1.69222	4.689339	3.251802	2.576969	3.454849	4.399916	2.989234
0.16615	0.213038	18.433677	3.362416	0.290151	2.544995	1.113318	0.524352	2.090541	0.805365	0.482832	1.353059	0.541304	2.723851	2.130605	1.894914
0.81302	1.065799	6.454499	2.560939	0.084777	0.988035	1.159774	4.403085	2.158786	0.635536	1.755549	0.893468	1.558205	1.844998	0.501411	6.32563
2.180405	0.741793	3.394352	0.430438	1.425769	1.143396	1.917819	3.807191	3.468268	3.364434	0.569597	0.029872	0.240237	1.56871	0.34325	0.205536
0.287237	2.104795	19.264899	16.770772	2.970179	1.801196	4.220113	2.813928	7.505768	1.08367	1.767235	2.647865	8.337332	3.147015	1.104311	7.981355
0.423889	0.737608	9.83569	6.448362	3.876787	0.193296	2.310219	0.685626	13.155889	3.733928	4.784236	1.093528	7.409416	2.600885	0.105523	0.862585
