ContC-ContA	ContC-ContB	ContC-DefaultA	ContC-DefaultB	ContC-DefaultC	ContC-DorsAttnA	ContC-DorsAttnB	ContC-LimbicA	ContC-LimbicB	ContC-SalVentAttnA	ContC-SalVentAttnB	ContC-SomMotA	ContC-SomMotB	ContC-TempPar	ContC-VisCent	ContC-VisPeri
0.590271	0.652547	2.43783	6.468084	0.031659	3.128626	6.518472	0.265125	9.312526	4.109862	0.743957	1.628525	2.21852	0.457596	3.020498	0.683553
0.349499	0.788804	10.102163	1.005143	1.431486	0.817964	0.036136	0.243045	2.268138	1.472064	2.924911	0.136012	0.935612	0.031961	0.032412	0.10699
0.670222	2.515871	7.337481	9.20885	0.813278	2.144444	3.775005	7.337265	8.645592	0.169745	0.845293	0.186142	4.662916	0.22423	5.893286	0.012569
3.220431	7.002992	1.354601	1.974513	14.175794	0.439327	0.341381	0.442025	2.823741	3.326511	0.378148	1.306773	0.282666	2.625475	1.902297	2.463143
2.132853	0.160451	1.802479	2.568657	0.033019	0.597705	0.931853	0.372608	5.184268	1.903017	0.616017	2.838823	1.303748	0.334324	1.393893	0.857269
1.61983	1.656636	5.947662	4.529432	14.758007	3.788998	2.756143	0.530222	0.608618	1.011581	0.210822	5.227016	1.6374	9.755782	1.62683	4.420428
4.002789	3.76337	2.320509	6.396614	6.855052	1.949179	0.070167	3.131048	9.659253	3.134779	2.075702	4.189633	5.563607	8.122512	2.125813	2.953426
5.895933	2.251593	5.236613	4.581641	2.055376	0.33695	0.65932	4.464925	8.819356	0.487576	4.702415	5.383921	3.533999	0.49456	0.49351	0.584476
0.174883	0.522604	5.005229	1.033534	0.942125	0.057631	0.367521	0.937716	0.515053	0.173965	1.531457	0.12174	0.934306	0.038297	0.062465	1.302526
1.678904	0.774563	8.263456	2.382028	0.46717	1.326564	7.136004	5.309037	4.579628	1.765146	3.16573	0.742055	0.289727	5.119758	1.768063	0.206654
