SalVentAttnB-ContA	SalVentAttnB-ContB	SalVentAttnB-ContC	SalVentAttnB-DefaultA	SalVentAttnB-DefaultB	SalVentAttnB-DefaultC	SalVentAttnB-DorsAttnA	SalVentAttnB-DorsAttnB	SalVentAttnB-LimbicA	SalVentAttnB-LimbicB	SalVentAttnB-SalVentAttnA	SalVentAttnB-SomMotA	SalVentAttnB-SomMotB	SalVentAttnB-TempPar	SalVentAttnB-VisCent	SalVentAttnB-VisPeri
2.874683	0.89878	1.708892	3.721142	2.27632	0.921494	0.497737	0.199816	9.11677	9.928521	3.476199	3.236637	0.021166	0.259836	1.265798	1.216257
4.741023	0.556181	5.361279	7.503435	2.431288	0.568741	1.17853	1.944126	2.466425	19.238386	2.59565	0.731042	1.463453	3.61182	3.74768	1.570864
2.943293	2.656676	0.719967	0.056333	1.771738	1.949999	4.955604	0.831583	1.95031	9.858678	9.624372	4.87661	0.579168	2.406115	1.66824	4.129668
1.419998	0.003412	3.483404	0.543303	3.149051	0.72185	0.803963	4.64599	1.562931	5.271076	20.729867	0.492698	0.680221	3.995154	2.120707	0.174705
14.31996	13.500477	1.609919	4.446125	3.396323	0.150027	4.348775	3.741077	19.395774	14.282678	1.928952	11.134009	5.54123	4.34636	7.44922	6.103875
4.188339	4.530833	5.245965	4.128382	1.410662	1.555069	2.128957	3.839359	1.979395	37.432379	8.160751	4.392122	0.103898	14.100884	10.801694	5.744727
3.927197	8.582874	0.716307	1.771309	3.653459	13.930354	2.443039	5.912518	12.583865	26.444953	2.912212	7.474522	0.673518	9.544675	1.470164	10.860386
4.762595	0.916474	2.319533	0.681125	3.558951	9.015487	5.474223	2.966508	5.373933	27.488805	11.396195	5.519876	3.70501	2.16289	0.172515	3.053514
3.117684	3.532318	0.091757	0.093101	8.46662	6.701541	1.211084	0.36469	5.272278	39.974832	10.11145	7.642858	1.407613	1.363949	0.018756	3.905292
0.097555	1.483192	1.027422	0.141016	0.277434	0.266891	1.317658	1.398259	4.985171	30.032352	9.537776	2.838241	0.75733	0.568533	3.28866	3.75937
22.765678	2.252363	2.619925	15.270624	0.758111	1.331565	1.422548	4.616244	43.643503	51.598931	13.000553	4.44897	1.3861	6.000613	1.540954	4.939197
8.266764	3.089466	4.737351	3.28951	0.968278	2.549851	3.507663	1.136457	10.528086	30.494201	12.31236	5.864587	1.529811	0.750205	1.681622	3.874545
16.517281	6.617897	5.515541	6.174593	6.712872	2.674874	2.651819	5.665841	20.416872	39.379402	5.529252	19.125432	8.820103	0.069176	9.257978	11.007917
3.410708	1.530866	14.208192	4.407026	0.433525	2.785635	4.353994	1.434747	11.517856	65.445895	12.821487	5.92095	1.555657	3.92425	8.198707	4.325025
