DefaultC-ContA	DefaultC-ContB	DefaultC-ContC	DefaultC-DefaultA	DefaultC-DefaultB	DefaultC-DorsAttnA	DefaultC-DorsAttnB	DefaultC-LimbicA	DefaultC-LimbicB	DefaultC-SalVentAttnA	DefaultC-SalVentAttnB	DefaultC-SomMotA	DefaultC-SomMotB	DefaultC-TempPar	DefaultC-VisCent	DefaultC-VisPeri
1.182962	2.072702	1.561395	2.021709	9.682422	7.388496	1.466543	1.38671	1.265527	0.470372	3.154204	2.2559	0.88825	12.416267	0.634433	0.090919
1.281819	11.389684	1.210581	0.56474	34.068082	5.891706	0.919931	0.895259	5.760897	5.056818	0.053751	8.045243	4.85355	3.838356	0.379329	7.267319
5.089008	7.098133	0.995606	7.358509	1.670169	12.054394	0.809592	0.096386	1.197248	0.003887	4.980802	1.276653	5.019713	1.809478	3.176423	1.489636
2.584038	9.491518	5.887399	3.423453	2.236565	4.231151	0.768021	2.525796	0.304001	0.993967	0.191104	1.195137	1.668849	14.36928	1.439354	0.744243
1.303004	0.077837	1.024976	1.898862	19.855989	4.885678	0.293304	1.426103	4.285654	2.493873	0.266551	1.308824	0.01531	7.629133	1.357787	0.419993
1.415463	2.803315	5.735534	1.09891	0.891126	5.750903	0.143484	0.536606	1.33163	2.089143	1.865772	0.805982	0.414372	0.844066	0.862609	1.168489
5.606039	2.792661	5.691161	5.188087	2.565604	2.483366	0.910455	3.988567	1.880702	2.646311	2.064043	1.109323	1.997371	5.376127	2.100113	0.97656
0.257651	1.015866	0.955334	2.303062	6.876118	7.704417	2.299531	2.169096	3.286177	5.156146	1.672311	3.964982	1.742542	3.078272	0.387671	2.874759
1.268231	1.664578	0.210581	1.197257	16.836123	4.732463	1.155695	2.396367	4.636311	0.240551	0.707618	7.476929	6.85703	3.481852	0.89081	10.216821
1.640532	4.696817	0.859646	4.722107	3.933159	5.436769	5.787881	1.863809	1.650212	3.949336	1.190555	6.059774	0.211084	3.407555	1.557631	5.394028
0.165012	0.031015	2.078467	5.089693	32.303625	2.146914	3.239732	1.997424	1.108472	1.989086	0.210196	2.820036	0.012015	4.570497	0.916699	0.1395
2.290351	1.18648	1.388445	2.73586	5.865917	2.557737	1.289146	5.068685	0.851572	1.897045	1.449027	0.645344	0.279376	11.351604	0.789679	0.500399
4.981385	16.435002	0.705381	1.522032	21.297811	0.481911	1.083439	7.566167	4.960833	0.483986	3.256547	12.276421	1.064671	6.888748	0.479622	3.621332
5.059135	3.794619	8.188079	4.517081	13.97969	2.672593	3.007112	3.206794	4.362546	3.838248	3.008788	2.136037	3.597712	0.594848	1.064751	3.161574
0.543122	8.768226	4.272461	9.328421	33.730998	13.207911	1.430555	0.051038	6.910267	0.841917	1.370986	4.420133	6.090097	1.293835	0.240723	2.485579
2.030038	3.801367	3.45782	2.765566	2.203817	5.050988	0.04632	2.281617	1.147616	7.127693	3.651231	0.198619	4.321393	1.859173	0.70628	2.13656
4.797024	7.555126	0.426976	3.222873	27.323055	10.328545	0.417459	3.479554	7.201952	2.250742	7.544046	18.663643	22.338173	12.381619	23.878609	10.749749
3.1787	2.785626	2.748747	5.803719	25.506592	1.211644	1.096521	3.458372	3.113602	2.774841	9.271405	1.029247	0.362957	23.517969	5.281595	2.908577
5.125846	1.923012	3.282174	6.024446	2.309576	6.095476	11.020956	3.200499	1.266789	1.146587	1.964679	6.1538	0.1218	0.030702	4.579924	8.357962
0.63	5.240867	0.272192	2.959102	25.790436	2.809092	4.57285	0.626417	2.292271	1.559575	1.663961	8.681155	4.642351	7.587274	4.131861	14.088078
1.102175	3.002365	0.130004	2.524906	32.022856	3.043282	1.679002	1.639792	0.344321	1.448212	0.131888	3.27631	4.977817	0.24519	4.323209	3.361467
0.189528	3.852205	3.156612	1.542109	1.251887	0.277159	0.121686	0.093254	1.720448	0.008223	0.621359	2.675176	1.677244	2.598515	4.399318	4.583674
0.013403	2.971491	0.584991	0.987561	13.875954	6.351559	11.541339	0.754149	0.365564	1.064217	0.267089	3.901333	6.613144	5.139332	5.227207	0.79691
0.97501	3.352342	5.704488	3.942442	11.588696	2.846772	3.666197	1.430431	3.028073	2.163492	3.818638	0.086718	0.634858	1.406287	0.504893	3.595255
9.144718	10.781444	5.704076	10.159867	11.044208	10.700952	0.880131	4.280192	1.196125	1.537569	0.718693	6.825709	8.589546	0.692467	1.421638	0.50781
1.693223	4.110723	1.878656	3.445203	4.766936	2.540586	0.387641	2.490314	6.694632	1.615378	2.357652	0.250417	2.413743	3.031293	1.106168	0.183436
4.80826	5.697801	0.704903	1.10274	36.391491	2.461198	4.337282	4.690486	1.645794	1.184099	0.468568	2.952087	2.684416	2.313493	5.599446	1.147663
0.837048	2.986682	2.213607	0.567106	5.590239	2.539556	1.059277	0.82177	1.789484	14.358618	5.62471	1.23728	1.803791	4.935495	4.819002	0.660176
2.872926	0.545572	5.156144	5.663478	0.091169	0.921977	1.329661	4.136999	1.078865	1.594749	1.062649	1.672182	0.451115	10.375358	1.598601	2.535468
1.510365	3.636335	0.738526	0.187111	11.862337	5.149614	0.588387	0.714243	0.535981	5.98966	1.046113	7.797739	1.475873	1.58759	1.414254	7.688611
1.046819	0.683076	1.035472	0.040179	4.896403	6.181283	3.582608	0.143335	0.010047	3.413529	1.740211	4.220334	0.60104	4.502189	5.037255	1.28958
7.732914	2.350954	5.470925	0.669083	11.434566	0.407265	0.755882	1.530085	3.324597	9.282132	2.722359	1.747662	4.136733	0.688033	0.57335	5.132549
3.859394	0.850959	1.548655	1.187314	15.944901	8.789434	1.003306	1.041655	0.715527	1.28655	2.395765	3.339667	3.504003	6.642423	1.545825	5.738621
9.10497	5.056928	12.965262	10.040353	11.236447	3.853945	7.303566	2.289477	0.37413	1.216455	0.134012	2.33243	1.043871	12.227833	9.288711	2.776854
3.696561	0.647348	3.483896	4.51433	6.57941	2.525597	3.906805	0.083914	0.495594	4.67136	3.822013	3.728065	1.749428	2.98923	0.085269	4.341913
3.124253	4.84061	2.516644	0.879804	4.056188	10.301603	2.487753	1.766475	0.604639	1.029861	0.364861	0.640245	2.157442	2.821784	2.111906	1.836238
2.027817	0.740139	5.74145	3.133795	6.575498	8.500242	2.589817	1.950264	0.770981	0.694451	1.097867	0.285838	2.502564	0.342307	1.023993	0.228694
5.074072	4.045697	1.076119	2.905062	4.830799	0.407305	0.204088	10.603631	3.188271	1.408889	2.283352	0.013246	0.305693	4.165235	0.521974	0.463496
1.509715	6.199318	1.686496	0.38988	34.191186	4.187275	2.564027	0.173448	0.310454	9.923315	0.013472	2.524679	3.30005	8.38761	7.762647	5.904931
0.08794	2.793113	0.642206	0.123323	11.020217	5.293928	4.834081	0.335596	0.513652	4.63035	0.56679	6.176725	2.203993	1.227597	8.581757	0.805345
3.716434	3.414014	1.674215	1.074811	12.452085	0.728886	0.341881	0.079482	1.801513	0.712975	2.207224	4.4837	2.50911	3.196235	6.456233	1.339699
7.08229	8.233114	0.609591	2.9263	60.362085	14.727948	4.18413	5.430536	9.546979	2.975027	2.866262	34.448659	16.834619	8.670018	2.728271	24.1061
6.533128	1.879089	1.888325	0.910409	10.813482	8.179286	3.374583	1.192001	0.14197	6.13871	0.561135	0.874809	1.135591	0.933785	0.919574	0.488702
3.636427	3.532933	4.036261	2.289571	19.280899	2.274807	0.490409	2.159662	2.644843	2.148942	1.562189	3.649327	2.792719	31.983279	6.831116	2.057274
3.085502	4.597991	1.663183	0.769419	11.521296	3.292306	5.985017	2.730261	3.0561	6.028925	1.59853	2.104566	0.082437	34.406521	5.890662	0.02009
11.291181	4.626598	0.361222	8.444448	40.33637	30.503042	0.855463	3.424092	6.181083	4.486747	2.866477	9.353683	0.876396	2.33897	0.430128	0.019632
