DefaultC-ContA	DefaultC-ContB	DefaultC-ContC	DefaultC-DefaultA	DefaultC-DefaultB	DefaultC-DorsAttnA	DefaultC-DorsAttnB	DefaultC-LimbicA	DefaultC-LimbicB	DefaultC-SalVentAttnA	DefaultC-SalVentAttnB	DefaultC-SomMotA	DefaultC-SomMotB	DefaultC-TempPar	DefaultC-VisCent	DefaultC-VisPeri
8.506554	1.019656	0.056978	1.72349	14.539122	0.968221	0.998059	5.706206	0.474098	0.216213	0.08732	7.043952	3.527023	6.432929	1.382942	2.325486
0.973909	8.186135	0.55575	1.380268	20.656251	6.591205	6.299901	0.660551	2.109917	2.281975	1.79726	0.835615	0.796942	1.072903	0.053307	0.24664
1.96284	1.834546	1.544685	2.225147	29.895964	7.229072	0.863076	1.79996	8.667215	0.970459	0.857487	0.426916	3.922795	2.31881	2.296414	1.063907
0.212598	0.90837	2.978452	0.189288	10.619103	6.465501	2.727915	0.827982	3.12394	2.653704	3.434162	12.779963	0.287515	11.713476	1.535925	1.151574
2.7283	11.764035	0.503979	1.89332	11.907096	2.252771	3.083516	0.146464	0.558798	0.173915	1.28726	1.6416	5.209168	17.731976	5.373099	0.468661
3.972329	2.684497	0.701843	1.894911	19.735305	7.209529	4.423527	6.712969	3.830212	6.613781	1.394813	2.51815	2.992873	2.570591	1.330146	1.578288
0.606854	1.499321	0.64526	2.68392	11.523159	5.070789	4.059119	0.552281	0.572989	3.130974	0.297137	4.639457	0.101301	11.241351	2.505623	1.288747
5.802577	6.261286	0.65156	3.181398	8.110666	4.665902	5.827379	7.532615	4.100039	5.061725	2.48827	5.495141	2.180539	0.254509	4.380665	0.560272
4.196655	2.14527	6.346521	10.448335	5.089058	5.574619	0.14451	5.950275	1.599808	0.397515	1.097631	7.134473	1.812122	48.599235	0.845346	0.382052
0.935265	2.564549	2.349145	1.262704	1.254013	13.793463	1.419716	0.00987	1.682327	1.828606	0.61094	1.321216	1.270325	11.205951	1.926621	3.230455
0.160779	6.342418	0.345517	1.359854	7.121859	3.016529	1.001618	1.072495	2.352954	1.300925	0.973946	1.882368	2.290368	5.503346	1.807423	0.237767
1.130486	6.125131	2.771709	1.994732	25.946399	3.18044	0.664845	5.753804	9.992754	4.945542	3.773678	4.93062	2.277866	0.574561	2.121468	1.407476
4.047906	1.915769	2.819287	1.260091	3.618265	3.606658	3.367341	8.994017	0.969182	2.1238	1.282162	3.246318	0.581744	20.868423	1.167889	2.385033
1.157982	0.046534	3.355218	4.020065	2.969013	1.377578	0.583863	2.498947	1.037821	2.470704	0.175601	1.429644	0.475185	0.20404	4.514448	7.68122
9.959343	1.34056	3.459777	9.334192	19.957584	0.556799	0.556546	5.340119	4.499462	1.177758	2.183824	0.921896	0.922816	5.327259	0.237884	0.410737
3.713428	1.92872	2.609188	1.341262	5.92172	11.214144	4.893811	6.538125	1.440729	1.778533	2.135786	0.266134	4.788101	4.018491	4.784011	6.751666
1.648976	1.601889	5.658612	9.758601	5.353876	3.16376	0.204395	3.526858	4.725184	0.356759	3.304251	2.958364	7.315717	2.043054	0.47583	0.399009
1.878895	2.209172	0.871172	0.328255	5.254033	7.306418	4.117191	0.533534	3.91549	3.694114	1.142646	2.398599	4.66697	1.355894	6.697461	5.177765
3.635696	9.801156	5.110611	5.885824	31.101075	5.031156	1.300627	1.847056	3.543387	17.903678	13.921387	11.149643	8.642878	2.318584	1.113217	10.864968
2.350152	4.618983	4.232973	4.228615	9.917954	1.349092	9.460576	1.693879	1.836935	1.50874	5.252078	3.172553	2.716932	5.346975	4.436645	8.5943
1.265374	3.630612	2.721278	5.162472	34.701367	0.63935	0.285227	1.543755	8.654856	0.73872	8.230169	7.701907	4.982115	4.6188	1.779689	1.211265
3.737685	0.928366	0.371111	6.07908	5.012871	1.924866	3.534001	10.330974	0.729353	0.538146	0.252937	1.066777	1.587032	1.321844	5.189156	0.477314
3.77162	0.657421	2.827699	4.948893	1.734826	5.075694	5.856548	2.074472	0.715775	1.711421	0.527091	6.078099	0.048939	0.068521	3.343391	7.922172
0.312895	12.882135	4.886535	9.591841	30.875064	10.351664	0.844139	0.176129	12.041411	3.202635	1.68665	1.462572	0.938069	14.531466	2.04124	3.044501
1.661101	7.633912	1.238932	2.511373	13.198032	15.967893	2.563266	2.545488	3.35047	11.899114	2.329589	5.588056	9.825828	16.759562	5.271553	2.127856
0.185999	5.381031	0.488277	0.841508	9.654598	0.469553	0.31701	0.632288	1.773808	2.493785	1.25536	5.15074	5.633544	15.633608	5.491477	1.323643
2.547258	4.834758	21.695679	17.897277	12.526173	14.147344	7.878959	6.114104	4.617192	0.926062	6.611497	0.753828	0.31714	9.356515	5.199234	0.134176
0.062394	3.478931	3.869859	0.087447	10.671884	1.191566	0.423284	0.255105	3.510968	1.908163	1.694953	3.942324	3.484687	5.970242	3.435706	2.352942
0.781835	13.569769	0.67926	0.195699	17.198408	3.938159	2.453223	0.969804	0.807689	8.472629	0.198617	14.285022	14.674448	2.160903	0.820382	4.121072
10.059149	0.438747	1.669107	3.068885	2.76623	16.020003	7.661684	12.868082	5.312869	4.388544	6.465778	3.415286	1.983577	11.328547	4.000499	2.870716
5.165285	5.420103	0.190645	2.148218	21.048771	4.824951	0.786695	9.485064	11.101037	0.352072	2.783853	7.794567	7.444447	7.793576	1.058065	0.207104
0.726586	1.139096	1.22199	9.486889	1.909537	4.130861	0.187872	1.581125	4.764699	0.741897	0.286248	11.565288	0.738592	5.770269	4.577684	8.292477
5.00632	8.943931	3.016856	2.358205	25.059294	2.021449	0.679295	2.024625	2.682457	2.418713	1.305392	11.837208	7.483948	29.369539	2.719172	8.548654
3.337538	4.235384	2.719212	7.024575	4.867348	4.24407	0.741726	6.546742	1.543703	0.113879	6.911363	2.068097	0.71008	3.930788	0.364098	1.961391
1.343092	1.743265	2.389345	2.682402	8.95566	3.284539	0.566643	1.064186	5.578321	1.540464	0.514125	7.025737	3.021905	2.336554	1.322085	0.966597
1.225095	3.27462	0.179899	1.710451	0.739982	5.552009	3.219753	1.083232	0.563188	2.395424	0.071977	0.733674	1.591256	3.693623	4.130839	3.07156
10.453601	11.195079	8.127873	8.382811	24.706416	6.257794	1.059908	1.585142	4.570411	1.14405	0.473776	7.661019	9.593572	4.567253	1.657415	3.352749
1.682251	11.375617	6.074867	5.118545	37.241082	1.66804	0.715539	1.122451	4.686605	3.317353	4.350167	13.941821	4.288456	0.737365	15.933433	11.048754
0.694656	0.070531	3.0314	3.203052	11.705648	1.45969	1.328335	7.878545	2.954616	1.13228	2.831125	0.313707	2.635515	1.019947	0.7178	0.905137
0.420145	1.475754	0.2133	0.51956	2.621924	0.760046	0.04931	0.808201	0.322273	0.140848	0.974509	2.970989	4.109454	15.662153	0.406453	0.413594
2.949784	5.677033	0.023139	0.091876	4.744584	5.14149	8.504798	4.464557	3.97376	0.748389	2.987282	12.379486	2.030111	12.246947	6.885313	10.582803
0.951686	7.697987	5.243276	1.452564	12.185938	2.631653	5.31244	2.288212	0.468473	2.262329	0.171259	5.908174	2.506198	5.007509	1.680533	2.605195
1.115987	3.112959	9.445792	6.446882	8.221834	2.464556	0.364915	0.067809	0.420861	1.524515	1.039435	2.46591	11.839493	16.142511	0.949651	3.2299
2.867789	1.232393	1.546419	6.316692	43.042878	7.239026	0.697135	1.108251	1.648963	1.227198	0.534855	6.090811	7.554377	10.63367	1.265302	2.523845
1.905303	0.270877	0.120683	0.487421	12.753777	7.402392	2.726974	0.387136	0.693746	0.9636	1.243085	1.086645	3.455029	1.683374	0.629421	1.043394
2.801292	0.703109	4.660786	2.754997	4.5572	4.263621	13.145024	1.069383	3.107048	5.887578	6.84473	18.713873	3.129397	2.606308	15.515695	12.092683
1.79105	6.355523	2.176499	1.554428	14.450385	0.412361	0.161725	1.02392	1.792564	0.109017	1.418644	3.801392	3.026391	0.886817	4.691348	0.774833
0.005854	1.299738	1.739675	0.770095	13.588859	2.27284	0.687682	3.116015	4.953311	7.615783	14.586053	5.331124	8.901332	26.890974	0.714752	2.517837
1.928262	3.36442	0.451502	2.362239	9.605293	8.428648	3.849317	2.395705	0.295991	13.834744	1.248019	0.560037	4.022775	0.791351	1.40796	1.602984
0.688898	0.380611	0.10732	0.143132	13.779521	3.249509	1.989035	0.295787	0.344378	0.574866	0.855749	4.143095	0.399346	1.83488	0.119535	1.757834
5.443891	0.273838	1.850716	0.976567	7.917301	1.963903	0.579144	2.52599	0.470951	0.725282	0.02209	2.497649	0.96662	5.260834	1.467668	0.937195
1.371178	4.495546	6.71117	9.355615	6.227011	1.689187	0.922582	6.029521	5.439607	4.283646	5.252338	0.120421	0.286636	0.103273	0.74862	3.168935
3.383702	8.597174	2.66551	7.079701	18.88652	6.1631	6.479409	5.885751	11.834782	1.534282	11.862519	21.644142	7.114347	2.544367	4.00067	14.929004
2.010649	1.92558	0.366633	0.287524	18.795642	0.425396	0.711365	1.576562	0.383921	5.492824	0.464588	1.301938	3.2218	1.275527	2.624226	2.424036
0.590068	3.205062	0.277902	0.076118	7.908253	6.256833	2.144138	2.932975	1.085882	0.199348	1.341155	2.816078	0.14616	9.861068	4.871999	4.813067
7.236119	7.600852	6.594954	3.272171	9.798655	1.177359	2.663408	4.386936	2.94285	0.619856	0.425339	7.225326	3.236007	3.788356	1.850389	8.642218
2.280328	2.254179	1.76836	0.11214	3.348584	9.65567	1.969473	1.884716	2.431227	0.682341	0.00318	2.752394	1.524951	10.668124	2.658261	0.953145
