ContB-ContA	ContB-ContC	ContB-DefaultA	ContB-DefaultB	ContB-DefaultC	ContB-DorsAttnA	ContB-DorsAttnB	ContB-LimbicA	ContB-LimbicB	ContB-SalVentAttnA	ContB-SalVentAttnB	ContB-SomMotA	ContB-SomMotB	ContB-TempPar	ContB-VisCent	ContB-VisPeri
8.64407	4.905056	5.644875	4.460074	0.258017	1.277963	0.913451	9.854855	6.503427	2.390649	0.126193	3.526754	0.48698	3.65008	0.451043	1.227698
4.229081	0.834927	3.669263	18.780762	10.709422	1.64761	0.194183	4.142586	12.899295	3.884362	2.876089	7.727233	10.845516	0.90829	0.52093	11.930341
0.654254	3.890485	0.326508	0.028773	9.506611	2.224076	5.84515	9.137959	8.618913	0.02853	8.52945	1.255871	0.408826	3.741657	0.30067	0.838063
0.973343	6.681821	0.048518	4.706103	16.887103	0.943769	5.153211	0.380876	1.582104	0.088554	0.240073	1.591324	2.182547	3.467601	1.890959	1.095496
6.028357	7.049499	4.080782	4.291219	1.072906	6.285208	2.603627	10.671288	7.042072	4.258509	4.254755	10.523954	7.307434	1.681296	5.636216	5.384495
1.424894	0.63839	0.070964	0.353695	3.419305	3.920733	10.238314	1.542508	1.030194	2.146739	0.032847	1.553835	1.475209	7.821225	2.244917	1.209599
17.509313	4.53427	1.727617	4.34954	10.524365	4.725968	0.794672	13.805027	12.942951	1.367773	6.170735	11.952971	2.890427	5.126593	0.400445	7.949559
0.507492	4.288916	1.077566	0.3336	0.386794	0.51332	3.227419	9.969736	6.688546	1.154034	0.509096	0.519582	0.492538	6.833306	0.118822	1.375114
2.947357	4.552667	2.151882	12.140408	1.300597	1.017982	0.627874	4.148491	8.383415	2.192451	0.752218	5.010544	2.705308	0.301293	0.005276	5.101198
7.361577	4.80439	2.715317	1.736256	2.26651	0.976804	12.030833	6.526326	4.502212	2.529161	0.629846	2.251308	3.740216	2.608184	3.993026	1.077396
1.728517	2.434465	1.077741	7.160043	8.793923	0.778228	0.276489	7.694031	3.595519	8.255711	2.05318	6.503655	0.017172	2.280233	2.600834	3.107278
0.976964	4.666897	5.644027	5.795138	5.030069	1.092946	2.75183	2.921543	3.610186	0.013919	1.319853	7.308914	6.060582	5.29777	0.315819	0.755041
5.342185	1.143507	0.41778	1.924774	4.310081	0.3861	1.449361	9.011196	0.993232	0.264463	2.544383	7.989723	4.362682	1.082615	3.022354	5.329272
0.037547	0.06818	1.275139	1.47539	2.286848	3.309462	0.261538	1.277514	0.633697	3.803173	1.609219	2.025479	0.674235	0.309682	3.522949	0.715316
7.715718	6.265229	2.243107	8.513097	8.233536	4.995635	1.32234	4.419441	5.966946	3.244544	5.757973	10.039358	2.50111	6.412583	0.091026	5.056092
2.586727	5.539106	2.223486	1.099223	5.747268	2.262122	0.00428	5.760803	2.148218	3.450792	0.390647	2.602958	6.356668	3.770477	17.656993	2.505477
1.882296	0.460789	7.497629	2.079373	0.663778	3.634017	1.323382	1.122311	3.424726	1.174677	6.739512	6.964274	8.195887	9.399752	12.215521	4.810998
1.542186	3.289324	2.743546	0.41233	3.813315	2.186728	9.261831	0.636252	1.206143	0.257122	2.741234	0.021661	0.924773	5.001589	0.298174	1.926085
10.246265	4.617836	1.677688	0.534626	0.463644	0.132811	1.204335	3.583807	0.289516	3.872577	1.169768	9.076002	12.240127	3.759269	2.74137	1.449943
7.156644	0.3569	3.694152	3.702132	3.209174	0.258237	7.342377	3.073745	6.367006	1.354174	4.264894	4.144758	0.18989	4.33148	0.164351	4.60055
2.092313	0.899104	0.555154	13.894997	4.80577	2.277121	1.773985	1.666104	4.724505	0.431389	0.581974	1.978916	4.204315	0.876698	0.22041	0.633632
0.491075	8.097124	7.526798	5.981613	8.796267	2.225767	2.346721	1.903964	5.10933	0.7683	2.645297	10.788723	2.4842	1.907434	0.615876	5.746683
9.008852	3.101895	6.876527	5.148274	0.911583	1.695265	0.831549	4.58915	3.581157	4.701844	1.600093	12.735539	11.094933	2.3467	2.50272	4.781764
0.822951	3.878728	5.062431	9.687565	1.493653	1.269666	0.436734	5.263521	3.610982	0.629579	1.210026	0.989475	1.378375	1.030833	4.405383	0.011258
3.982577	24.875038	8.483706	4.894197	0.090401	2.108212	4.451912	13.404718	0.062331	3.333964	1.924203	2.675867	5.174069	6.221249	1.148516	3.688269
7.619003	2.350038	0.725799	1.776844	1.233511	1.51734	0.075274	12.51841	1.450343	6.591288	3.128133	7.614213	1.743373	2.155138	4.071152	8.627548
5.558019	0.722575	0.149948	2.192562	5.521137	0.839504	2.710578	4.50446	1.965909	3.182667	1.753809	2.280447	0.993557	2.492817	11.16072	3.301532
2.461532	11.148422	4.509576	4.22238	0.548979	0.610361	0.251903	6.494718	15.300052	1.079413	3.480971	4.936977	3.523067	2.438187	1.550001	2.077989
3.204022	0.669098	3.587218	5.063828	5.605726	2.492151	3.523293	3.030314	0.464219	6.919538	0.77805	2.245855	0.060802	4.399957	0.861196	3.623127
1.816866	0.699891	0.011606	9.209638	0.472206	3.302892	2.485633	1.943651	1.373987	0.896235	0.828395	3.801844	0.439642	1.372693	1.652086	3.98027
7.314042	12.913041	5.065493	7.803505	7.337431	1.936705	0.524546	9.537375	3.329515	0.455298	0.531164	0.258304	1.497524	0.509954	0.315267	0.248732
3.944253	0.814257	0.197584	0.68159	0.352176	0.939355	3.46307	2.00958	10.443971	0.130274	2.452753	2.157048	0.599777	2.73574	2.24403	2.445431
