ContB-ContA	ContB-ContC	ContB-DefaultA	ContB-DefaultB	ContB-DefaultC	ContB-DorsAttnA	ContB-DorsAttnB	ContB-LimbicA	ContB-LimbicB	ContB-SalVentAttnA	ContB-SalVentAttnB	ContB-SomMotA	ContB-SomMotB	ContB-TempPar	ContB-VisCent	ContB-VisPeri
3.491206	1.271448	0.543428	1.770499	0.636688	0.933006	2.41531	1.875794	1.994795	2.124198	0.612905	2.866611	1.909848	0.766437	2.380009	4.090137
2.767988	1.272777	3.864822	0.835915	2.449852	1.939769	0.106793	4.717919	2.5759	5.902522	2.094831	0.365278	1.04613	1.907526	2.579894	0.444922
5.811214	2.320645	3.220086	1.773325	1.625881	5.668285	2.305817	8.066237	8.09259	3.757375	1.230003	0.647275	1.102408	0.057756	0.406592	2.043267
4.780537	2.238349	2.467934	4.887765	2.595397	6.560868	1.494199	9.177911	2.429694	0.023389	1.197139	5.290238	3.973565	0.411425	2.916826	2.901663
2.74722	2.261398	4.965839	8.136241	8.27225	4.446867	1.404086	2.793617	2.856952	0.752997	2.323978	6.15706	6.443082	0.658914	9.829807	0.10866
5.42033	2.187851	5.235529	4.428852	1.368853	0.269304	0.092107	2.735858	3.107494	0.604682	2.647012	1.84391	1.976636	0.0518	0.029091	3.269248
0.403034	1.577276	0.418252	7.436224	5.69497	5.226506	0.258624	2.030842	4.218831	3.499815	0.634142	1.782123	0.548833	0.247157	2.376204	0.794695
15.013728	13.170934	9.464076	10.060086	12.959151	4.068578	4.187578	17.65573	12.51178	12.581781	3.532937	13.86013	7.387439	6.208174	2.395844	1.769006
5.313229	0.388959	1.213057	0.749782	0.758578	6.260454	6.375091	4.240298	9.225476	1.836779	4.349979	2.43676	2.405687	3.732259	0.207493	2.004136
8.639195	8.510649	2.021685	2.943017	1.22724	4.667986	2.202078	8.629046	11.213435	1.188956	7.535044	3.832189	1.117557	1.59795	0.694839	5.903623
3.667518	1.632427	1.149431	10.724734	2.928316	2.421747	2.231563	3.689	2.93361	1.605242	7.42928	4.868688	0.271173	0.652522	3.689661	1.258599
10.8463	1.371312	2.080013	10.41968	3.325788	6.64617	2.71053	10.231722	11.884909	5.009443	5.568363	5.735577	2.78433	0.364546	0.199207	0.611544
2.655946	4.64673	1.880756	0.529517	5.206363	1.305584	0.78974	1.797739	0.091644	0.344517	1.362855	5.941805	1.454802	1.967433	1.086816	0.148077
8.614458	1.299286	1.07811	0.513145	1.213517	2.286542	0.890208	2.31132	2.927362	3.095979	3.654777	0.852775	0.770885	0.659456	1.918716	7.632131
8.968928	4.718427	4.975238	3.475556	5.732853	0.849467	6.794009	4.413954	3.924356	2.390039	1.791872	0.095352	2.076034	4.585809	1.854181	0.034478
0.142383	0.255474	1.443858	0.255075	0.946875	0.848683	0.540706	1.574923	0.266539	3.502052	0.462337	0.632253	3.544968	4.710897	5.401272	0.309353
4.491382	6.039618	4.174156	2.487975	3.413083	2.601646	0.28828	5.956193	1.067535	0.004448	1.231884	1.592376	9.707116	0.586458	0.828381	1.555276
16.440436	11.304587	2.329469	6.028844	8.714194	3.417444	2.459595	21.263312	17.450349	9.575715	1.499971	7.952287	6.113371	1.034514	1.323558	4.64184
14.20884	4.739219	5.914253	7.435029	1.353786	2.029763	1.525932	7.78754	2.754627	7.438761	1.9395	9.548996	1.916265	2.695828	3.204121	7.821693
19.251892	2.217252	1.653143	9.920639	3.192353	0.92465	0.381369	15.114486	0.145407	5.805214	0.187707	3.050142	1.962531	3.518834	3.322508	1.430646
16.618546	0.878341	2.09381	17.246515	7.870668	5.566209	4.530286	14.565187	9.071036	1.585771	7.769814	11.925325	0.291806	1.021089	1.196887	8.51634
0.377412	4.876377	4.096867	1.534589	2.039992	3.296241	2.937632	4.032977	6.570892	5.142691	7.093699	0.743769	0.321937	0.037574	1.284375	0.747783
5.973587	5.545001	1.18306	1.280041	2.822023	0.010119	2.675939	3.187557	0.321256	1.135717	1.991649	4.259969	12.291546	7.864267	4.589963	1.248533
2.888878	9.088225	1.60636	2.684184	2.995298	2.246112	0.016541	7.168445	7.660421	1.057463	2.211651	4.50441	0.333226	0.60994	1.225442	0.820783
6.122965	0.289974	0.783463	5.304826	4.487981	6.45862	3.629526	1.449741	0.163099	16.594551	0.924848	17.186983	7.282071	14.18672	4.20438	8.866862
4.584947	0.486347	0.662775	7.468186	5.302466	0.322007	1.213215	9.971864	5.471895	2.558194	6.300208	5.767196	6.195404	8.259644	4.612363	3.331797
18.35338	6.308819	11.638544	16.555199	3.892147	0.690486	0.94246	8.318281	5.811146	0.432053	0.190223	3.936107	1.104875	0.036355	1.836299	4.947488
0.915958	1.718893	0.224405	7.394466	4.859188	2.165819	0.273905	1.707223	3.911119	5.188954	0.343811	2.627888	1.629895	3.742694	3.237957	1.56123
4.690935	0.178481	0.695697	2.747123	0.817185	3.325267	7.231944	2.443308	0.360497	1.085355	1.438841	14.914096	7.801596	1.371782	0.336935	5.280363
0.183306	1.477117	1.096735	1.767674	0.866075	1.08155	0.051198	0.543111	5.319005	0.348614	1.037679	12.043258	1.255023	0.076755	0.798251	2.311941
5.363122	2.015544	3.400804	10.832277	4.151457	3.177238	5.786386	10.426654	5.777088	2.802658	2.234294	4.402685	7.218227	5.612385	6.690666	2.278091
2.760827	10.800897	26.516099	14.389079	21.821764	0.960642	0.181473	4.95207	0.708674	0.024522	3.477313	3.278794	2.200955	8.086191	4.480529	2.218808
3.660183	0.097864	0.669531	0.491196	0.080261	0.509947	2.248845	2.291282	0.263363	0.708372	0.007789	2.217576	6.740778	0.530328	1.019783	2.075434
1.087455	3.127759	2.663469	6.454333	0.29743	4.807935	0.736967	4.925187	2.06442	1.059654	1.590175	1.150033	1.248165	1.520118	3.65494	1.923915
6.511276	6.824784	7.89666	8.852148	10.089468	2.824465	0.50819	13.019369	10.860994	4.038134	7.23904	7.836601	2.524874	3.462809	2.628101	0.081557
4.966438	6.570897	7.429705	2.911515	0.013369	3.496183	0.132475	4.985443	8.140511	3.060495	0.191743	2.29529	2.050681	0.768825	1.638536	1.556388
3.484818	3.865045	0.695517	2.539961	1.750107	3.803028	5.969112	0.718221	2.853091	1.111404	5.098848	4.428905	4.467858	0.671801	0.205012	2.731127
3.745635	0.993206	1.278051	1.282913	2.205533	0.023148	9.439445	7.397731	1.121252	3.070669	0.345388	3.031558	6.818305	0.917287	3.685548	4.64238
3.441037	16.652232	3.071249	2.845019	1.340652	1.56019	0.716302	6.688604	6.209037	1.28658	2.017209	8.457826	2.703859	0.824342	0.39223	2.728052
5.893899	5.392404	0.972919	0.226442	1.058647	0.27324	1.535003	3.857315	5.240357	1.069053	0.978116	5.49785	0.056834	5.144688	3.682919	2.201923
2.23972	1.559928	1.772601	5.135373	8.072842	2.724075	0.109108	0.052659	1.575378	6.48595	0.182275	1.316545	2.574862	11.3722	1.875946	6.247301
1.514247	0.112295	0.133688	2.116907	0.54847	0.753176	0.395105	3.992838	0.434455	4.281717	1.30399	1.251162	2.477755	6.100765	0.641939	0.926285
6.223154	0.576821	1.677552	4.200229	0.405869	1.676453	0.703965	5.052694	4.215622	0.128337	0.894042	2.008935	5.329458	5.987259	0.092492	5.218163
7.843121	3.333443	4.102861	6.418375	2.775867	3.411852	6.123559	12.126366	2.899391	1.183415	2.090234	9.276196	8.769198	1.797386	0.829122	8.501272
2.791575	1.528032	0.86325	0.141731	0.783499	0.702665	3.612485	8.565888	1.023301	0.827603	0.877338	3.290283	0.637736	4.332762	3.665636	2.139913
3.622891	2.281451	2.438639	0.359694	0.392045	0.575586	0.405254	1.180897	1.138121	0.170498	0.004179	3.038339	0.204964	0.038126	0.054166	1.736721
4.642127	3.626074	5.070196	9.014291	0.198093	1.027602	1.285002	2.060073	5.034563	0.859201	3.693513	3.955769	5.035606	0.197424	0.362018	1.565161
1.149025	1.304935	1.402091	0.839655	0.231209	0.11322	0.864765	5.946142	2.734391	1.965528	1.47998	2.620464	6.150578	2.108959	2.043349	5.095764
11.414681	0.985726	0.170771	10.701003	5.196973	0.696413	5.152949	15.218062	1.742694	3.63464	0.016246	15.832241	5.328485	0.019115	3.262242	16.50893
0.152288	1.737553	0.313164	3.247655	5.383994	3.327062	0.077751	0.059587	0.582179	2.027625	0.424557	0.712633	6.528559	6.649036	1.977327	0.242427
1.868953	0.27627	0.461234	1.540099	2.127416	3.258924	0.704025	3.502452	0.998022	1.293989	0.701695	5.856363	0.03178	1.386607	1.455589	12.529692
4.479224	6.778436	1.966018	3.300164	5.845923	7.502039	0.332857	12.198364	12.720288	3.065738	10.62111	1.795644	1.013299	2.953494	2.100196	1.121008
1.068721	0.227466	0.438891	0.035845	0.061759	1.791399	0.919425	1.064016	2.651692	1.011405	0.9978	2.091946	0.413835	2.661997	0.710973	2.829491
12.20539	4.294023	3.768857	1.031237	0.9159	2.333	0.825524	7.221593	2.307062	1.587812	0.746356	11.423795	2.019172	5.911291	1.786689	7.533046
5.819555	5.843976	3.876451	1.254339	0.315008	1.582438	0.249913	0.140008	0.286246	3.090325	1.16845	3.386358	7.391317	1.065046	1.998717	2.1231
12.322732	5.031931	11.201808	16.689351	6.319589	2.780082	0.156907	10.59321	3.53381	4.21966	0.037207	0.915361	5.043173	6.379272	2.549488	8.697946
0.090153	6.167323	2.903282	1.285675	5.431909	2.661768	1.922757	8.854608	5.138372	0.072903	4.667649	10.72993	1.45609	4.423737	8.207951	2.49463
